  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   1.00000   1.00000   0.00000   0.00000   0.00000   0.10000   0.00000
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      1.000000      1.000000      1.000000
      0.625066      0.105437      1.072727      1.072727      1.072727      1.054365
      0.666133      0.110005      1.134201      1.134201      1.134201      1.100055
      0.709701      0.114751      1.198374      1.198374      1.198374      1.147513
      0.755925      0.119681      1.265362      1.265362      1.265362      1.196813
      0.804969      0.124803      1.335287      1.335287      1.335287      1.248034
      0.857004      0.130125      1.408274      1.408274      1.408274      1.301254
      0.912214      0.135656      1.484453      1.484453      1.484453      1.356557
      0.970792      0.141403      1.563961      1.563961      1.563961      1.414028
      1.032945      0.147375      1.646936      1.646936      1.646936      1.473755
      1.098890      0.153583      1.733526      1.733526      1.733526      1.535830
      1.168856      0.160035      1.823881      1.823881      1.823881      1.600348
      1.205423      0.163355      1.870519      1.870519      1.870519      1.633554
      1.243088      0.166741      1.918158      1.918158      1.918158      1.667407
      1.281885      0.170192      1.966819      1.966819      1.966819      1.701922
      1.321846      0.173711      2.016522      2.016522      2.016522      1.737111
      1.363006      0.177299      2.067288      2.067288      2.067288      1.772987
      1.405402      0.180956      2.119141      2.119141      2.119141      1.809565
      1.449070      0.184686      2.172101      2.172101      2.172101      1.846857
      1.494048      0.188488      2.226192      2.226192      2.226192      1.884879
      1.540375      0.192364      2.281437      2.281437      2.281437      1.923644
      1.588092      0.196317      2.337859      2.337859      2.337859      1.963168
      1.637239      0.200346      2.395483      2.395483      2.395483      2.003465
      1.687859      0.204455      2.454332      2.454332      2.454332      2.044551
      1.739996      0.208644      2.514433      2.514433      2.514433      2.086440
      1.793696      0.212915      2.575810      2.575810      2.575810      2.129150
      1.849004      0.217270      2.638489      2.638489      2.638489      2.172696
      1.905969      0.221710      2.702498      2.702498      2.702498      2.217095
      1.964640      0.226236      2.767862      2.767862      2.767862      2.262363
      2.025067      0.230852      2.834610      2.834610      2.834610      2.308518
      2.087303      0.235558      2.902769      2.902769      2.902769      2.355577
