  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   1.00000   1.00000   0.00000   0.00000   0.00000   0.10000   0.00000
Number of "drawing" timesteps:    105
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      1.000000      1.000000      1.000000
      0.105437      1.072727      1.072727      1.072727      1.054365
      0.110005      1.134201      1.134201      1.134201      1.100055
      0.114751      1.198374      1.198374      1.198374      1.147513
      0.119681      1.265362      1.265362      1.265362      1.196813
      0.124803      1.335287      1.335287      1.335287      1.248034
      0.130125      1.408274      1.408274      1.408274      1.301254
      0.135656      1.484453      1.484453      1.484453      1.356557
      0.141403      1.563961      1.563961      1.563961      1.414028
      0.147375      1.646936      1.646936      1.646936      1.473755
      0.153583      1.733526      1.733526      1.733526      1.535830
      0.160035      1.823881      1.823881      1.823881      1.600348
      0.163355      1.870519      1.870519      1.870519      1.633554
      0.166741      1.918158      1.918158      1.918158      1.667407
      0.170192      1.966819      1.966819      1.966819      1.701922
      0.173711      2.016522      2.016522      2.016522      1.737111
      0.177299      2.067288      2.067288      2.067288      1.772987
      0.180956      2.119141      2.119141      2.119141      1.809565
      0.184686      2.172101      2.172101      2.172101      1.846857
      0.188488      2.226192      2.226192      2.226192      1.884879
      0.192364      2.281437      2.281437      2.281437      1.923644
      0.196317      2.337859      2.337859      2.337859      1.963168
      0.200346      2.395483      2.395483      2.395483      2.003465
      0.204455      2.454332      2.454332      2.454332      2.044551
      0.208644      2.514433      2.514433      2.514433      2.086440
      0.212915      2.575810      2.575810      2.575810      2.129150
      0.217270      2.638489      2.638489      2.638489      2.172696
      0.221710      2.702498      2.702498      2.702498      2.217095
      0.226236      2.767862      2.767862      2.767862      2.262363
      0.230852      2.834610      2.834610      2.834610      2.308518
      0.235558      2.902769      2.902769      2.902769      2.355577
      0.240356      2.972369      2.972369      2.972369      2.403558
      0.245248      3.043439      3.043439      3.043439      2.452479
      0.250236      3.116007      3.116007      3.116007      2.502358
      0.255321      3.190106      3.190106      3.190106      2.553215
      0.260507      3.265764      3.265764      3.265764      2.605068
      0.265794      3.343016      3.343016      3.343016      2.657937
      0.271184      3.421891      3.421891      3.421891      2.711841
      0.276680      3.502424      3.502424      3.502424      2.766803
      0.282284      3.584647      3.584647      3.584647      2.822841
      0.287998      3.668596      3.668596      3.668596      2.879977
      0.293823      3.754304      3.754304      3.754304      2.938233
      0.299763      3.841807      3.841807      3.841807      2.997631
      0.305819      3.931141      3.931141      3.931141      3.058192
      0.311994      4.022344      4.022344      4.022344      3.119940
      0.318290      4.115452      4.115452      4.115452      3.182899
      0.324709      4.210505      4.210505      4.210505      3.247090
      0.331254      4.307541      4.307541      4.307541      3.312540
      0.337927      4.406601      4.406601      4.406601      3.379272
      0.344731      4.507724      4.507724      4.507724      3.447312
      0.351668      4.610953      4.610953      4.610953      3.516685
      0.358742      4.716329      4.716329      4.716329      3.587416
      0.365953      4.823896      4.823896      4.823896      3.659534
      0.373306      4.933698      4.933698      4.933698      3.733064
      0.380804      5.045780      5.045780      5.045780      3.808035
      0.388447      5.160187      5.160187      5.160187      3.884475
      0.396241      5.276965      5.276965      5.276965      3.962412
      0.404187      5.396164      5.396164      5.396164      4.041875
      0.412289      5.517830      5.517830      5.517830      4.122895
      0.420550      5.642014      5.642014      5.642014      4.205501
      0.428973      5.768765      5.768765      5.768765      4.289725
      0.437560      5.898136      5.898136      5.898136      4.375599
      0.446315      6.030178      6.030178      6.030178      4.463154
      0.455242      6.164946      6.164946      6.164946      4.552424
      0.464344      6.302492      6.302492      6.302492      4.643441
      0.473624      6.442874      6.442874      6.442874      4.736241
      0.483086      6.586147      6.586147      6.586147      4.830857
      0.492733      6.732370      6.732370      6.732370      4.927325
      0.502568      6.881601      6.881601      6.881601      5.025682
      0.512596      7.033901      7.033901      7.033901      5.125964
      0.522821      7.189329      7.189329      7.189329      5.228209
      0.533245      7.347950      7.347950      7.347950      5.332454
      0.543874      7.509827      7.509827      7.509827      5.438740
      0.554711      7.675024      7.675024      7.675024      5.547106
      0.565759      7.843607      7.843607      7.843607      5.657592
      0.577024      8.015645      8.015645      8.015645      5.770240
      0.588509      8.191205      8.191205      8.191205      5.885092
      0.600219      8.370359      8.370359      8.370359      6.002190
      0.612158      8.553178      8.553178      8.553178      6.121580
      0.624330      8.739734      8.739734      8.739734      6.243304
      0.636741      8.930101      8.930101      8.930101      6.367410
      0.649394      9.124357      9.124357      9.124357      6.493943
      0.662295      9.322577      9.322577      9.322577      6.622950
      0.675448      9.524842      9.524842      9.524842      6.754480
      0.688858      9.731230      9.731230      9.731230      6.888582
      0.702531      9.941825      9.941825      9.941825      7.025307
      0.716468     10.156668     10.156668     10.156668      7.164677
      0.730672     10.375806     10.375806     10.375806      7.306722
      0.745149     10.599323     10.599323     10.599323      7.451490
      0.759904     10.827302     10.827302     10.827302      7.599035
      0.774941     11.059831     11.059831     11.059831      7.749409
      0.790267     11.296998     11.296998     11.296998      7.902666
      0.805886     11.538892     11.538892     11.538892      8.058861
      0.821805     11.785606     11.785606     11.785606      8.218049
      0.838029     12.037231     12.037231     12.037231      8.380288
      0.854564     12.293864     12.293864     12.293864      8.545635
      0.871415     12.555601     12.555601     12.555601      8.714150
      0.888589     12.822541     12.822541     12.822541      8.885893
      0.906093     13.094784     13.094784     13.094784      9.060925
      0.923931     13.372433     13.372433     13.372433      9.239309
      0.942111     13.655593     13.655593     13.655593      9.421109
      0.960639     13.944369     13.944369     13.944369      9.606389
      0.979521     14.238871     14.238871     14.238871      9.795215
      0.998766     14.539208     14.539208     14.539208      9.987655
      1.000000     14.558482     14.558482     14.558482     10.000000
