  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.26552
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.900000      0.800000      1.000000
      0.612781      0.104050      1.055943      0.953921      0.852374      1.040505
      0.648212      0.108024      1.111887      1.007841      0.904748      1.080236
      0.683643      0.111925      1.167830      1.061762      0.957122      1.119249
      0.719074      0.115759      1.223774      1.115682      1.009496      1.157594
      0.754505      0.119531      1.279717      1.169603      1.061870      1.195314
      0.789936      0.123245      1.335660      1.223523      1.114244      1.232448
      0.825367      0.126903      1.391604      1.277444      1.166618      1.269030
      0.860798      0.130509      1.447547      1.331364      1.218992      1.305093
      0.896229      0.134066      1.503491      1.385285      1.271366      1.340664
      0.931660      0.137577      1.559434      1.439206      1.323741      1.375769
      0.967091      0.141043      1.615377      1.493126      1.376115      1.410432
      1.002522      0.144467      1.671321      1.547047      1.428489      1.444674
      1.037953      0.147851      1.727264      1.600967      1.480863      1.478515
      1.073384      0.151197      1.783208      1.654888      1.533237      1.511973
      1.108815      0.154506      1.839151      1.708808      1.585611      1.545064
      1.144246      0.157781      1.895094      1.762729      1.637985      1.577805
      1.179677      0.161021      1.951038      1.816649      1.690359      1.610210
      1.215108      0.164229      2.006981      1.870570      1.742733      1.642292
      1.250539      0.167406      2.062925      1.924490      1.795107      1.674064
      1.285970      0.170554      2.118868      1.978411      1.847481      1.705537
      1.321401      0.173672      2.174812      2.032332      1.899855      1.736722
      1.356832      0.176763      2.230755      2.086252      1.952229      1.767629
      1.392263      0.179827      2.286698      2.140173      2.004603      1.798269
      1.427694      0.182865      2.342642      2.194093      2.056977      1.828650
      1.463125      0.185878      2.398585      2.248014      2.109351      1.858780
      1.498556      0.188867      2.454529      2.301934      2.161725      1.888669
      1.533987      0.191832      2.510472      2.355855      2.214099      1.918322
      1.569418      0.194775      2.566415      2.409775      2.266473      1.947749
      1.604849      0.197695      2.622359      2.463696      2.318847      1.976954
      1.640280      0.200595      2.678302      2.517617      2.371222      2.005945
      1.675711      0.203473      2.734246      2.571537      2.423596      2.034729
      1.711142      0.206331      2.790189      2.625458      2.475970      2.063310
      1.746573      0.209169      2.846132      2.679378      2.528344      2.091695
      1.782004      0.211989      2.902076      2.733299      2.580718      2.119888
      1.817435      0.214789      2.958019      2.787219      2.633092      2.147895
      1.852866      0.217572      3.013963      2.841140      2.685466      2.175721
      1.888297      0.220337      3.069906      2.895060      2.737840      2.203369
      1.923728      0.223085      3.125849      2.948981      2.790214      2.230846
      1.959159      0.225815      3.181793      3.002901      2.842588      2.258154
      1.994590      0.228530      3.237736      3.056822      2.894962      2.285298
      2.030021      0.231228      3.293680      3.110743      2.947336      2.312282
      2.065452      0.233911      3.349623      3.164663      2.999710      2.339109
      2.100883      0.236578      3.405566      3.218584      3.052084      2.365784
      2.136314      0.239231      3.461510      3.272504      3.104458      2.392308
      2.171745      0.241869      3.517453      3.326425      3.156832      2.418687
      2.207176      0.244492      3.573397      3.380345      3.209206      2.444922
      2.242607      0.247102      3.629340      3.434266      3.261580      2.471018
      2.278038      0.249698      3.685283      3.488186      3.313954      2.496976
      2.313469      0.252280      3.741227      3.542107      3.366328      2.522800
      2.348900      0.254849      3.797170      3.596028      3.418703      2.548493
      2.384331      0.257406      3.853114      3.649948      3.471077      2.574057
      2.419762      0.259949      3.909057      3.703869      3.523451      2.599494
      2.455193      0.262481      3.965000      3.757789      3.575825      2.624808
      2.490624      0.265000      4.020944      3.811710      3.628199      2.650000
      2.526055      0.267507      4.076887      3.865630      3.680573      2.675073
      2.561486      0.270003      4.132831      3.919551      3.732947      2.700029
      2.596917      0.272487      4.188774      3.973471      3.785321      2.724870
      2.632348      0.274960      4.244718      4.027392      3.837695      2.749599
      2.667779      0.277422      4.300661      4.081313      3.890069      2.774216
      2.703210      0.279873      4.356604      4.135233      3.942443      2.798725
      2.738641      0.282313      4.412548      4.189154      3.994817      2.823128
      2.774072      0.284742      4.468491      4.243074      4.047191      2.847425
      2.809503      0.287162      4.524435      4.296995      4.099565      2.871619
      2.844934      0.289571      4.580378      4.350915      4.151939      2.895711
      2.880365      0.291970      4.636321      4.404836      4.204313      2.919704
      2.915796      0.294360      4.692265      4.458756      4.256687      2.943598
      2.951227      0.296740      4.748208      4.512677      4.309061      2.967396
      2.986658      0.299110      4.804152      4.566597      4.361435      2.991099
      3.022089      0.301471      4.860095      4.620518      4.413810      3.014708
      3.057520      0.303823      4.916038      4.674439      4.466184      3.038225
      3.092951      0.306165      4.971982      4.728359      4.518558      3.061652
      3.128382      0.308499      5.027925      4.782280      4.570932      3.084989
      3.163813      0.310824      5.083869      4.836200      4.623306      3.108238
      3.199244      0.313140      5.139812      4.890121      4.675680      3.131401
      3.234675      0.315448      5.195755      4.944041      4.728054      3.154478
      3.270106      0.317747      5.251699      4.997962      4.780428      3.177471
      3.305537      0.320038      5.307642      5.051882      4.832802      3.200382
      3.340968      0.322321      5.363586      5.105803      4.885176      3.223210
      3.376399      0.324596      5.419529      5.159724      4.937550      3.245958
      3.411830      0.326863      5.475472      5.213644      4.989924      3.268627
      3.447261      0.329122      5.531416      5.267565      5.042298      3.291217
      3.482692      0.331373      5.587359      5.321485      5.094672      3.313730
      3.518123      0.333617      5.643303      5.375406      5.147046      3.336167
      3.553554      0.335853      5.699246      5.429326      5.199420      3.358529
      3.588985      0.338082      5.755189      5.483247      5.251794      3.380816
      3.624416      0.340303      5.811133      5.537167      5.304168      3.403030
      3.659847      0.342517      5.867076      5.591088      5.356542      3.425172
      3.695278      0.344724      5.923020      5.645008      5.408916      3.447243
      3.730709      0.346924      5.978963      5.698929      5.461291      3.469243
      3.766140      0.349117      6.034907      5.752850      5.513665      3.491173
      3.801571      0.351304      6.090850      5.806770      5.566039      3.513035
      3.837002      0.353483      6.146793      5.860691      5.618413      3.534829
      3.872433      0.355656      6.202737      5.914611      5.670787      3.556556
      3.907864      0.357822      6.258680      5.968532      5.723161      3.578217
      3.943295      0.359981      6.314624      6.022452      5.775535      3.599813
      3.978726      0.362134      6.370567      6.076373      5.827909      3.621344
      4.014157      0.364281      6.426510      6.130293      5.880283      3.642811
      4.049588      0.366422      6.482454      6.184214      5.932657      3.664215
      4.085019      0.368556      6.538397      6.238135      5.985031      3.685557
      4.120450      0.370684      6.594341      6.292055      6.037405      3.706837
      4.155881      0.372806      6.650284      6.345976      6.089779      3.728057
      4.191312      0.374922      6.706227      6.399896      6.142153      3.749216
      4.226743      0.377032      6.762171      6.453817      6.194527      3.770315
