  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.15517
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      0.900000      0.800000      1.000000
      0.104050      1.054633      0.952430      0.850661      1.040505
      0.108024      1.109266      1.004859      0.901322      1.080236
      0.111925      1.163898      1.057289      0.951984      1.119249
      0.115759      1.218531      1.109718      1.002645      1.157594
      0.119531      1.273164      1.162148      1.053306      1.195314
      0.123245      1.327797      1.214577      1.103967      1.232448
      0.126903      1.382429      1.267007      1.154628      1.269030
      0.130509      1.437062      1.319437      1.205290      1.305093
      0.134066      1.491695      1.371866      1.255951      1.340664
      0.137577      1.546328      1.424296      1.306612      1.375769
      0.141043      1.600961      1.476725      1.357273      1.410432
      0.144467      1.655593      1.529155      1.407934      1.444674
      0.147851      1.710226      1.581585      1.458596      1.478515
      0.151197      1.764859      1.634014      1.509257      1.511973
      0.154506      1.819492      1.686444      1.559918      1.545064
      0.157781      1.874125      1.738873      1.610579      1.577805
      0.161021      1.928757      1.791303      1.661240      1.610210
      0.164229      1.983390      1.843732      1.711902      1.642292
      0.167406      2.038023      1.896162      1.762563      1.674064
      0.170554      2.092656      1.948592      1.813224      1.705537
      0.173672      2.147288      2.001021      1.863885      1.736722
      0.176763      2.201921      2.053451      1.914546      1.767629
      0.179827      2.256554      2.105880      1.965208      1.798269
      0.182865      2.311187      2.158310      2.015869      1.828650
      0.185878      2.365820      2.210739      2.066530      1.858780
      0.188867      2.420452      2.263169      2.117191      1.888669
      0.191832      2.475085      2.315599      2.167852      1.918322
      0.194775      2.529718      2.368028      2.218514      1.947749
      0.197695      2.584351      2.420458      2.269175      1.976954
      0.200595      2.638983      2.472887      2.319836      2.005945
      0.203473      2.693616      2.525317      2.370497      2.034729
      0.206331      2.748249      2.577747      2.421158      2.063310
      0.209169      2.802882      2.630176      2.471819      2.091695
      0.211989      2.857515      2.682606      2.522481      2.119888
      0.214789      2.912147      2.735035      2.573142      2.147895
      0.217572      2.966780      2.787465      2.623803      2.175721
      0.220337      3.021413      2.839894      2.674464      2.203369
      0.223085      3.076046      2.892324      2.725125      2.230846
      0.225815      3.130679      2.944754      2.775787      2.258154
      0.228530      3.185311      2.997183      2.826448      2.285298
      0.231228      3.239944      3.049613      2.877109      2.312282
      0.233911      3.294577      3.102042      2.927770      2.339109
      0.236578      3.349210      3.154472      2.978431      2.365784
      0.239231      3.403842      3.206902      3.029093      2.392308
      0.241869      3.458475      3.259331      3.079754      2.418687
      0.244492      3.513108      3.311761      3.130415      2.444922
      0.247102      3.567741      3.364190      3.181076      2.471018
      0.249698      3.622374      3.416620      3.231737      2.496976
      0.252280      3.677006      3.469049      3.282399      2.522800
      0.254849      3.731639      3.521479      3.333060      2.548493
      0.257406      3.786272      3.573909      3.383721      2.574057
      0.259949      3.840905      3.626338      3.434382      2.599494
      0.262481      3.895537      3.678768      3.485043      2.624808
      0.265000      3.950170      3.731197      3.535705      2.650000
      0.267507      4.004803      3.783627      3.586366      2.675073
      0.270003      4.059436      3.836056      3.637027      2.700029
      0.272487      4.114069      3.888486      3.687688      2.724870
      0.274960      4.168701      3.940916      3.738349      2.749599
      0.277422      4.223334      3.993345      3.789011      2.774216
      0.279873      4.277967      4.045775      3.839672      2.798725
      0.282313      4.332600      4.098204      3.890333      2.823128
      0.284742      4.387232      4.150634      3.940994      2.847425
      0.287162      4.441865      4.203064      3.991655      2.871619
      0.289571      4.496498      4.255493      4.042317      2.895711
