  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.90000   0.80000   0.00000   0.00000   0.00000   0.10000  -0.10000
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.319349      1.403659      1.521697      1.000000
      0.612781      0.104050      1.328601      1.408891      1.520425      1.040505
      0.648212      0.108024      1.336951      1.413584      1.519295      1.080236
      0.683643      0.111925      1.344526      1.417817      1.518282      1.119249
      0.719074      0.115759      1.351427      1.421655      1.517371      1.157594
      0.754505      0.119531      1.357743      1.425151      1.516546      1.195314
      0.789936      0.123245      1.363543      1.428348      1.515796      1.232448
      0.825367      0.126903      1.368889      1.431283      1.515112      1.269030
      0.860798      0.130509      1.373831      1.433987      1.514484      1.305093
      0.896229      0.134066      1.378415      1.436486      1.513906      1.340664
      0.931660      0.137577      1.382677      1.438803      1.513372      1.375769
      0.967091      0.141043      1.386651      1.440957      1.512878      1.410432
      1.002522      0.144467      1.390364      1.442964      1.512419      1.444674
      1.037953      0.147851      1.393841      1.444839      1.511992      1.478515
      1.073384      0.151197      1.397105      1.446595      1.511593      1.511973
      1.108815      0.154506      1.400174      1.448243      1.511220      1.545064
      1.144246      0.157781      1.403066      1.449792      1.510870      1.577805
      1.179677      0.161021      1.405794      1.451251      1.510541      1.610210
      1.215108      0.164229      1.408373      1.452627      1.510232      1.642292
      1.250539      0.167406      1.410815      1.453928      1.509940      1.674064
      1.285970      0.170554      1.413130      1.455160      1.509664      1.705537
      1.321401      0.173672      1.415328      1.456327      1.509403      1.736722
      1.356832      0.176763      1.417417      1.457435      1.509156      1.767629
      1.392263      0.179827      1.419406      1.458488      1.508922      1.798269
      1.427694      0.182865      1.421301      1.459491      1.508699      1.828650
      1.463125      0.185878      1.423109      1.460446      1.508487      1.858780
      1.498556      0.188867      1.424836      1.461357      1.508286      1.888669
      1.533987      0.191832      1.426487      1.462227      1.508093      1.918322
      1.569418      0.194775      1.428067      1.463059      1.507909      1.947749
      1.604849      0.197695      1.429580      1.463855      1.507734      1.976954
      1.640280      0.200595      1.431032      1.464617      1.507566      2.005945
      1.675711      0.203473      1.432424      1.465348      1.507405      2.034729
      1.711142      0.206331      1.433762      1.466049      1.507251      2.063310
      1.746573      0.209169      1.435047      1.466723      1.507103      2.091695
      1.782004      0.211989      1.436284      1.467370      1.506962      2.119888
      1.817435      0.214789      1.437474      1.467992      1.506825      2.147895
      1.852866      0.217572      1.438621      1.468592      1.506694      2.175721
      1.888297      0.220337      1.439726      1.469169      1.506568      2.203369
      1.923728      0.223085      1.440792      1.469725      1.506446      2.230846
      1.959159      0.225815      1.441822      1.470262      1.506329      2.258154
