  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.34828
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.800000      0.600000      1.000000
      0.612781      0.104050      1.054150      0.850249      0.648951      1.040505
      0.648212      0.108024      1.108301      0.900498      0.697902      1.080236
      0.683643      0.111925      1.162451      0.950747      0.746853      1.119249
      0.719074      0.115759      1.216601      1.000996      0.795804      1.157594
      0.754505      0.119531      1.270751      1.051245      0.844754      1.195314
      0.789936      0.123245      1.324902      1.101494      0.893705      1.232448
      0.825367      0.126903      1.379052      1.151743      0.942656      1.269030
      0.860798      0.130509      1.433202      1.201992      0.991607      1.305093
      0.896229      0.134066      1.487352      1.252241      1.040558      1.340664
      0.931660      0.137577      1.541503      1.302490      1.089509      1.375769
      0.967091      0.141043      1.595653      1.352739      1.138460      1.410432
      1.002522      0.144467      1.649803      1.402988      1.187411      1.444674
      1.037953      0.147851      1.703954      1.453237      1.236362      1.478515
      1.073384      0.151197      1.758104      1.503486      1.285312      1.511973
      1.108815      0.154506      1.812254      1.553735      1.334263      1.545064
      1.144246      0.157781      1.866404      1.603984      1.383214      1.577805
      1.179677      0.161021      1.920555      1.654233      1.432165      1.610210
      1.215108      0.164229      1.974705      1.704482      1.481116      1.642292
      1.250539      0.167406      2.028855      1.754731      1.530067      1.674064
      1.285970      0.170554      2.083006      1.804980      1.579018      1.705537
      1.321401      0.173672      2.137156      1.855229      1.627969      1.736722
      1.356832      0.176763      2.191306      1.905478      1.676920      1.767629
      1.392263      0.179827      2.245456      1.955727      1.725870      1.798269
      1.427694      0.182865      2.299607      2.005977      1.774821      1.828650
      1.463125      0.185878      2.353757      2.056226      1.823772      1.858780
      1.498556      0.188867      2.407907      2.106475      1.872723      1.888669
      1.533987      0.191832      2.462057      2.156724      1.921674      1.918322
      1.569418      0.194775      2.516208      2.206973      1.970625      1.947749
      1.604849      0.197695      2.570358      2.257222      2.019576      1.976954
      1.640280      0.200595      2.624508      2.307471      2.068527      2.005945
      1.675711      0.203473      2.678659      2.357720      2.117478      2.034729
      1.711142      0.206331      2.732809      2.407969      2.166428      2.063310
      1.746573      0.209169      2.786959      2.458218      2.215379      2.091695
      1.782004      0.211989      2.841109      2.508467      2.264330      2.119888
      1.817435      0.214789      2.895260      2.558716      2.313281      2.147895
      1.852866      0.217572      2.949410      2.608965      2.362232      2.175721
      1.888297      0.220337      3.003560      2.659214      2.411183      2.203369
      1.923728      0.223085      3.057711      2.709463      2.460134      2.230846
      1.959159      0.225815      3.111861      2.759712      2.509085      2.258154
      1.994590      0.228530      3.166011      2.809961      2.558036      2.285298
      2.030021      0.231228      3.220161      2.860210      2.606986      2.312282
      2.065452      0.233911      3.274312      2.910459      2.655937      2.339109
      2.100883      0.236578      3.328462      2.960708      2.704888      2.365784
      2.136314      0.239231      3.382612      3.010957      2.753839      2.392308
      2.171745      0.241869      3.436762      3.061206      2.802790      2.418687
      2.207176      0.244492      3.490913      3.111455      2.851741      2.444922
      2.242607      0.247102      3.545063      3.161704      2.900692      2.471018
      2.278038      0.249698      3.599213      3.211953      2.949643      2.496976
      2.313469      0.252280      3.653364      3.262202      2.998593      2.522800
      2.348900      0.254849      3.707514      3.312451      3.047544      2.548493
      2.384331      0.257406      3.761664      3.362700      3.096495      2.574057
      2.419762      0.259949      3.815814      3.412949      3.145446      2.599494
      2.455193      0.262481      3.869965      3.463198      3.194397      2.624808
      2.490624      0.265000      3.924115      3.513447      3.243348      2.650000
      2.526055      0.267507      3.978265      3.563696      3.292299      2.675073
      2.561486      0.270003      4.032416      3.613945      3.341250      2.700029
      2.596917      0.272487      4.086566      3.664194      3.390201      2.724870
      2.632348      0.274960      4.140716      3.714443      3.439151      2.749599
      2.667779      0.277422      4.194866      3.764692      3.488102      2.774216
      2.703210      0.279873      4.249017      3.814941      3.537053      2.798725
      2.738641      0.282313      4.303167      3.865190      3.586004      2.823128
      2.774072      0.284742      4.357317      3.915439      3.634955      2.847425
      2.809503      0.287162      4.411467      3.965688      3.683906      2.871619
      2.844934      0.289571      4.465618      4.015937      3.732857      2.895711
      2.880365      0.291970      4.519768      4.066186      3.781808      2.919704
      2.915796      0.294360      4.573918      4.116435      3.830759      2.943598
      2.951227      0.296740      4.628069      4.166684      3.879709      2.967396
      2.986658      0.299110      4.682219      4.216933      3.928660      2.991099
      3.022089      0.301471      4.736369      4.267182      3.977611      3.014708
      3.057520      0.303823      4.790519      4.317431      4.026562      3.038225
      3.092951      0.306165      4.844670      4.367680      4.075513      3.061652
      3.128382      0.308499      4.898820      4.417930      4.124464      3.084989
      3.163813      0.310824      4.952970      4.468179      4.173415      3.108238
      3.199244      0.313140      5.007121      4.518428      4.222366      3.131401
      3.234675      0.315448      5.061271      4.568677      4.271317      3.154478
      3.270106      0.317747      5.115421      4.618926      4.320267      3.177471
      3.305537      0.320038      5.169571      4.669175      4.369218      3.200382
      3.340968      0.322321      5.223722      4.719424      4.418169      3.223210
      3.376399      0.324596      5.277872      4.769673      4.467120      3.245958
      3.411830      0.326863      5.332022      4.819922      4.516071      3.268627
      3.447261      0.329122      5.386172      4.870171      4.565022      3.291217
      3.482692      0.331373      5.440323      4.920420      4.613973      3.313730
      3.518123      0.333617      5.494473      4.970669      4.662924      3.336167
      3.553554      0.335853      5.548623      5.020918      4.711875      3.358529
      3.588985      0.338082      5.602774      5.071167      4.760825      3.380816
      3.624416      0.340303      5.656924      5.121416      4.809776      3.403030
      3.659847      0.342517      5.711074      5.171665      4.858727      3.425172
      3.695278      0.344724      5.765224      5.221914      4.907678      3.447243
      3.730709      0.346924      5.819375      5.272163      4.956629      3.469243
      3.766140      0.349117      5.873525      5.322412      5.005580      3.491173
      3.801571      0.351304      5.927675      5.372661      5.054531      3.513035
      3.837002      0.353483      5.981826      5.422910      5.103482      3.534829
      3.872433      0.355656      6.035976      5.473159      5.152433      3.556556
      3.907864      0.357822      6.090126      5.523408      5.201383      3.578217
      3.943295      0.359981      6.144276      5.573657      5.250334      3.599813
      3.978726      0.362134      6.198427      5.623906      5.299285      3.621344
      4.014157      0.364281      6.252577      5.674155      5.348236      3.642811
      4.049588      0.366422      6.306727      5.724404      5.397187      3.664215
      4.085019      0.368556      6.360877      5.774653      5.446138      3.685557
      4.120450      0.370684      6.415028      5.824902      5.495089      3.706837
      4.155881      0.372806      6.469178      5.875151      5.544040      3.728057
      4.191312      0.374922      6.523328      5.925400      5.592991      3.749216
      4.226743      0.377032      6.577479      5.975649      5.641941      3.770315
      4.262174      0.379136      6.631629      6.025898      5.690892      3.791356
      4.297605      0.381234      6.685779      6.076147      5.739843      3.812338
      4.333036      0.383326      6.739929      6.126396      5.788794      3.833263
      4.368467      0.385413      6.794080      6.176645      5.837745      3.854131
      4.403898      0.387494      6.848230      6.226894      5.886696      3.874942
      4.439329      0.389570      6.902380      6.277143      5.935647      3.895698
      4.474760      0.391640      6.956531      6.327392      5.984598      3.916399
      4.510191      0.393705      7.010681      6.377641      6.033549      3.937045
      4.545622      0.395764      7.064831      6.427890      6.082499      3.957637
      4.581053      0.397818      7.118981      6.478139      6.131450      3.978176
      4.616484      0.399866      7.173132      6.528388      6.180401      3.998662
      4.651915      0.401910      7.227282      6.578637      6.229352      4.019095
      4.687346      0.403948      7.281432      6.628886      6.278303      4.039477
      4.722777      0.405981      7.335582      6.679135      6.327254      4.059807
      4.758208      0.408009      7.389733      6.729384      6.376205      4.080087
      4.793639      0.410032      7.443883      6.779633      6.425156      4.100316
      4.829070      0.412050      7.498033      6.829883      6.474107      4.120495
      4.864501      0.414063      7.552184      6.880132      6.523057      4.140626
      4.899932      0.416071      7.606334      6.930381      6.572008      4.160707
      4.935363      0.418074      7.660484      6.980630      6.620959      4.180740
      4.970794      0.420073      7.714634      7.030879      6.669910      4.200725
      5.006225      0.422066      7.768785      7.081128      6.718861      4.220663
      5.041656      0.424055      7.822935      7.131377      6.767812      4.240554
      5.077087      0.426040      7.877085      7.181626      6.816763      4.260398
      5.112518      0.428020      7.931236      7.231875      6.865714      4.280196
      5.147949      0.429995      7.985386      7.282124      6.914665      4.299948
      5.183380      0.431966      8.039536      7.332373      6.963615      4.319656
      5.218811      0.433932      8.093686      7.382622      7.012566      4.339318
      5.254242      0.435894      8.147837      7.432871      7.061517      4.358936
      5.289673      0.437851      8.201987      7.483120      7.110468      4.378510
      5.325104      0.439804      8.256137      7.533369      7.159419      4.398040
      5.360535      0.441753      8.310287      7.583618      7.208370      4.417527
      5.395966      0.443697      8.364438      7.633867      7.257321      4.436971
      5.431397      0.445637      8.418588      7.684116      7.306272      4.456372
      5.466828      0.447573      8.472738      7.734365      7.355223      4.475732
      5.502259      0.449505      8.526889      7.784614      7.404173      4.495049
      5.537690      0.451433      8.581039      7.834863      7.453124      4.514325
      5.573121      0.453356      8.635189      7.885112      7.502075      4.533560
      5.608552      0.455275      8.689339      7.935361      7.551026      4.552755
      5.643983      0.457191      8.743490      7.985610      7.599977      4.571909
      5.679414      0.459102      8.797640      8.035859      7.648928      4.591023
      5.714845      0.461010      8.851790      8.086108      7.697879      4.610097
      5.750276      0.462913      8.905941      8.136357      7.746830      4.629132
      5.785707      0.464813      8.960091      8.186606      7.795780      4.648128
      5.821138      0.466708      9.014241      8.236855      7.844731      4.667085
      5.856569      0.468600      9.068391      8.287104      7.893682      4.686003
      5.892000      0.470488      9.122542      8.337353      7.942633      4.704884
      5.927431      0.472373      9.176692      8.387602      7.991584      4.723727
      5.962862      0.474253      9.230842      8.437851      8.040535      4.742532
      5.998293      0.476130      9.284992      8.488100      8.089486      4.761300
      6.033724      0.478003      9.339143      8.538349      8.138437      4.780031
      6.069155      0.479873      9.393293      8.588598      8.187388      4.798725
      6.104586      0.481738      9.447443      8.638847      8.236338      4.817384
