  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.70690
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      0.800000      0.600000      1.000000
      0.104050      1.057671      0.854909      0.655442      1.040505
      0.108024      1.115343      0.909818      0.710884      1.080236
      0.111925      1.173014      0.964727      0.766326      1.119249
      0.115759      1.230686      1.019636      0.821767      1.157594
      0.119531      1.288357      1.074544      0.877209      1.195314
      0.123245      1.346028      1.129453      0.932651      1.232448
      0.126903      1.403700      1.184362      0.988093      1.269030
      0.130509      1.461371      1.239271      1.043535      1.305093
      0.134066      1.519043      1.294180      1.098977      1.340664
      0.137577      1.576714      1.349089      1.154419      1.375769
      0.141043      1.634385      1.403998      1.209860      1.410432
      0.144467      1.692057      1.458907      1.265302      1.444674
      0.147851      1.749728      1.513815      1.320744      1.478515
      0.151197      1.807400      1.568724      1.376186      1.511973
      0.154506      1.865071      1.623633      1.431628      1.545064
      0.157781      1.922742      1.678542      1.487070      1.577805
      0.161021      1.980414      1.733451      1.542512      1.610210
      0.164229      2.038085      1.788360      1.597954      1.642292
      0.167406      2.095757      1.843269      1.653395      1.674064
      0.170554      2.153428      1.898178      1.708837      1.705537
      0.173672      2.211100      1.953086      1.764279      1.736722
      0.176763      2.268771      2.007995      1.819721      1.767629
      0.179827      2.326442      2.062904      1.875163      1.798269
      0.182865      2.384114      2.117813      1.930605      1.828650
      0.185878      2.441785      2.172722      1.986047      1.858780
      0.188867      2.499457      2.227631      2.041488      1.888669
      0.191832      2.557128      2.282540      2.096930      1.918322
      0.194775      2.614799      2.337449      2.152372      1.947749
      0.197695      2.672471      2.392357      2.207814      1.976954
      0.200595      2.730142      2.447266      2.263256      2.005945
      0.203473      2.787814      2.502175      2.318698      2.034729
      0.206331      2.845485      2.557084      2.374140      2.063310
      0.209169      2.903156      2.611993      2.429581      2.091695
      0.211989      2.960828      2.666902      2.485023      2.119888
      0.214789      3.018499      2.721811      2.540465      2.147895
      0.217572      3.076171      2.776720      2.595907      2.175721
      0.220337      3.133842      2.831628      2.651349      2.203369
      0.223085      3.191513      2.886537      2.706791      2.230846
      0.225815      3.249185      2.941446      2.762233      2.258154
      0.228530      3.306856      2.996355      2.817675      2.285298
      0.231228      3.364528      3.051264      2.873116      2.312282
      0.233911      3.422199      3.106173      2.928558      2.339109
      0.236578      3.479870      3.161082      2.984000      2.365784
      0.239231      3.537542      3.215991      3.039442      2.392308
      0.241869      3.595213      3.270899      3.094884      2.418687
      0.244492      3.652885      3.325808      3.150326      2.444922
      0.247102      3.710556      3.380717      3.205768      2.471018
      0.249698      3.768227      3.435626      3.261209      2.496976
