  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.54138
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.369916      1.611933      2.136528      1.000000
      0.612781      0.104050      1.376820      1.605008      2.085362      1.040505
      0.648212      0.108024      1.383028      1.598890      2.041809      1.080236
      0.683643      0.111925      1.388640      1.593446      2.004288      1.119249
      0.719074      0.115759      1.393738      1.588569      1.971628      1.157594
      0.754505      0.119531      1.398390      1.584177      1.942941      1.195314
      0.789936      0.123245      1.402652      1.580199      1.917543      1.232448
      0.825367      0.126903      1.406571      1.576581      1.894900      1.269030
      0.860798      0.130509      1.410186      1.573275      1.874587      1.305093
      0.896229      0.134066      1.413532      1.570242      1.856261      1.340664
      0.931660      0.137577      1.416638      1.567451      1.839645      1.375769
      0.967091      0.141043      1.419528      1.564873      1.824509      1.410432
      1.002522      0.144467      1.422224      1.562485      1.810665      1.444674
      1.037953      0.147851      1.424746      1.560266      1.797954      1.478515
      1.073384      0.151197      1.427109      1.558199      1.786242      1.511973
      1.108815      0.154506      1.429329      1.556270      1.775416      1.545064
      1.144246      0.157781      1.431417      1.554464      1.765379      1.577805
      1.179677      0.161021      1.433385      1.552771      1.756048      1.610210
      1.215108      0.164229      1.435244      1.551180      1.747351      1.642292
      1.250539      0.167406      1.437002      1.549682      1.739225      1.674064
      1.285970      0.170554      1.438666      1.548269      1.731616      1.705537
      1.321401      0.173672      1.440245      1.546934      1.724476      1.736722
      1.356832      0.176763      1.441745      1.545671      1.717764      1.767629
      1.392263      0.179827      1.443172      1.544474      1.711441      1.798269
      1.427694      0.182865      1.444530      1.543339      1.705475      1.828650
      1.463125      0.185878      1.445824      1.542260      1.699836      1.858780
      1.498556      0.188867      1.447060      1.541233      1.694499      1.888669
      1.533987      0.191832      1.448241      1.540255      1.689439      1.918322
      1.569418      0.194775      1.449370      1.539323      1.684636      1.947749
      1.604849      0.197695      1.450451      1.538432      1.680070      1.976954
      1.640280      0.200595      1.451486      1.537581      1.675725      2.005945
      1.675711      0.203473      1.452480      1.536767      1.671584      2.034729
      1.711142      0.206331      1.453433      1.535988      1.667634      2.063310
      1.746573      0.209169      1.454349      1.535240      1.663862      2.091695
      1.782004      0.211989      1.455229      1.534524      1.660256      2.119888
      1.817435      0.214789      1.456077      1.533835      1.656805      2.147895
      1.852866      0.217572      1.456893      1.533174      1.653500      2.175721
      1.888297      0.220337      1.457679      1.532538      1.650331      2.203369
      1.923728      0.223085      1.458436      1.531926      1.647291      2.230846
      1.959159      0.225815      1.459168      1.531337      1.644370      2.258154
      1.994590      0.228530      1.459874      1.530769      1.641564      2.285298
      2.030021      0.231228      1.460555      1.530221      1.638864      2.312282
      2.065452      0.233911      1.461215      1.529692      1.636266      2.339109
      2.100883      0.236578      1.461852      1.529182      1.633763      2.365784
      2.136314      0.239231      1.462469      1.528688      1.631350      2.392308
      2.171745      0.241869      1.463066      1.528211      1.629023      2.418687
      2.207176      0.244492      1.463645      1.527750      1.626777      2.444922
      2.242607      0.247102      1.464205      1.527304      1.624607      2.471018
      2.278038      0.249698      1.464749      1.526872      1.622511      2.496976
      2.313469      0.252280      1.465276      1.526453      1.620484      2.522800
      2.348900      0.254849      1.465788      1.526047      1.618523      2.548493
      2.384331      0.257406      1.466285      1.525653      1.616625      2.574057
      2.419762      0.259949      1.466768      1.525271      1.614786      2.599494
      2.455193      0.262481      1.467237      1.524900      1.613005      2.624808
      2.490624      0.265000      1.467693      1.524540      1.611278      2.650000
      2.526055      0.267507      1.468137      1.524191      1.609603      2.675073
      2.561486      0.270003      1.468568      1.523851      1.607978      2.700029
      2.596917      0.272487      1.468988      1.523520      1.606401      2.724870
      2.632348      0.274960      1.469397      1.523199      1.604868      2.749599
      2.667779      0.277422      1.469795      1.522886      1.603380      2.774216
      2.703210      0.279873      1.470183      1.522581      1.601933      2.798725
      2.738641      0.282313      1.470561      1.522285      1.600525      2.823128
      2.774072      0.284742      1.470930      1.521996      1.599157      2.847425
      2.809503      0.287162      1.471290      1.521715      1.597825      2.871619
      2.844934      0.289571      1.471640      1.521440      1.596528      2.895711
      2.880365      0.291970      1.471983      1.521173      1.595265      2.919704
      2.915796      0.294360      1.472317      1.520912      1.594035      2.943598
      2.951227      0.296740      1.472643      1.520658      1.592836      2.967396
      2.986658      0.299110      1.472962      1.520409      1.591667      2.991099
      3.022089      0.301471      1.473273      1.520167      1.590528      3.014708
      3.057520      0.303823      1.473578      1.519930      1.589416      3.038225
      3.092951      0.306165      1.473875      1.519699      1.588332      3.061652
      3.128382      0.308499      1.474166      1.519473      1.587273      3.084989
      3.163813      0.310824      1.474450      1.519252      1.586240      3.108238
      3.199244      0.313140      1.474728      1.519036      1.585230      3.131401
      3.234675      0.315448      1.475001      1.518825      1.584244      3.154478
      3.270106      0.317747      1.475267      1.518618      1.583281      3.177471
      3.305537      0.320038      1.475528      1.518416      1.582339      3.200382
      3.340968      0.322321      1.475783      1.518219      1.581418      3.223210
      3.376399      0.324596      1.476033      1.518025      1.580518      3.245958
      3.411830      0.326863      1.476278      1.517836      1.579638      3.268627
      3.447261      0.329122      1.476518      1.517650      1.578776      3.291217
      3.482692      0.331373      1.476753      1.517468      1.577933      3.313730
      3.518123      0.333617      1.476984      1.517291      1.577108      3.336167
      3.553554      0.335853      1.477210      1.517116      1.576300      3.358529
      3.588985      0.338082      1.477431      1.516945      1.575509      3.380816
      3.624416      0.340303      1.477649      1.516778      1.574734      3.403030
      3.659847      0.342517      1.477862      1.516614      1.573975      3.425172
      3.695278      0.344724      1.478071      1.516453      1.573231      3.447243
      3.730709      0.346924      1.478276      1.516295      1.572502      3.469243
      3.766140      0.349117      1.478478      1.516140      1.571787      3.491173
      3.801571      0.351304      1.478675      1.515988      1.571086      3.513035
      3.837002      0.353483      1.478870      1.515838      1.570399      3.534829
      3.872433      0.355656      1.479060      1.515692      1.569725      3.556556
      3.907864      0.357822      1.479247      1.515548      1.569064      3.578217
      3.943295      0.359981      1.479431      1.515407      1.568415      3.599813
      3.978726      0.362134      1.479612      1.515269      1.567778      3.621344
      4.014157      0.364281      1.479790      1.515132      1.567153      3.642811
      4.049588      0.366422      1.479964      1.514999      1.566539      3.664215
      4.085019      0.368556      1.480136      1.514867      1.565937      3.685557
      4.120450      0.370684      1.480304      1.514738      1.565345      3.706837
      4.155881      0.372806      1.480470      1.514611      1.564764      3.728057
      4.191312      0.374922      1.480633      1.514487      1.564193      3.749216
      4.226743      0.377032      1.480793      1.514364      1.563632      3.770315
      4.262174      0.379136      1.480951      1.514243      1.563081      3.791356
      4.297605      0.381234      1.481106      1.514125      1.562539      3.812338
      4.333036      0.383326      1.481258      1.514008      1.562007      3.833263
      4.368467      0.385413      1.481408      1.513894      1.561483      3.854131
      4.403898      0.387494      1.481556      1.513781      1.560968      3.874942
      4.439329      0.389570      1.481702      1.513670      1.560462      3.895698
      4.474760      0.391640      1.481845      1.513561      1.559964      3.916399
      4.510191      0.393705      1.481986      1.513453      1.559475      3.937045
      4.545622      0.395764      1.482124      1.513347      1.558993      3.957637
      4.581053      0.397818      1.482261      1.513243      1.558519      3.978176
      4.616484      0.399866      1.482396      1.513141      1.558052      3.998662
      4.651915      0.401910      1.482528      1.513040      1.557593      4.019095
      4.687346      0.403948      1.482659      1.512940      1.557141      4.039477
      4.722777      0.405981      1.482787      1.512842      1.556696      4.059807
      4.758208      0.408009      1.482914      1.512746      1.556258      4.080087
      4.793639      0.410032      1.483039      1.512651      1.555827      4.100316
      4.829070      0.412050      1.483162      1.512557      1.555402      4.120495
      4.864501      0.414063      1.483283      1.512465      1.554984      4.140626
      4.899932      0.416071      1.483403      1.512374      1.554572      4.160707
      4.935363      0.418074      1.483521      1.512285      1.554166      4.180740
      4.970794      0.420073      1.483640      1.512196      1.553766      4.200725
      5.006225      0.422066      1.483765      1.512109      1.553372      4.220663
      5.041656      0.424055      1.483893      1.512024      1.552984      4.240554
      5.077087      0.426040      1.484026      1.511939      1.552601      4.260398
      5.112518      0.428020      1.484163      1.511856      1.552224      4.280196
      5.147949      0.429995      1.484305      1.511773      1.551852      4.299948
      5.183380      0.431966      1.484450      1.511692      1.551485      4.319656
      5.218811      0.433932      1.484599      1.511612      1.551124      4.339318
      5.254242      0.435894      1.484751      1.511533      1.550767      4.358936
      5.289673      0.437851      1.484908      1.511456      1.550416      4.378510
      5.325104      0.439804      1.485068      1.511379      1.550069      4.398040
      5.360535      0.441753      1.485232      1.511303      1.549727      4.417527
      5.395966      0.443697      1.485399      1.511228      1.549390      4.436971
      5.431397      0.445637      1.485569      1.511154      1.549057      4.456372
      5.466828      0.447573      1.485743      1.511082      1.548729      4.475732
      5.502259      0.449505      1.485920      1.511010      1.548405      4.495049
      5.537690      0.451433      1.486100      1.510939      1.548086      4.514325
      5.573121      0.453356      1.486284      1.510869      1.547770      4.533560
      5.608552      0.455275      1.486470      1.510800      1.547459      4.552755
      5.643983      0.457191      1.486659      1.510731      1.547151      4.571909
      5.679414      0.459102      1.486851      1.510664      1.546848      4.591023
      5.714845      0.461010      1.487046      1.510597      1.546549      4.610097
      5.750276      0.462913      1.487244      1.510532      1.546253      4.629132
      5.785707      0.464813      1.487444      1.510467      1.545961      4.648128
      5.821138      0.466708      1.487647      1.510402      1.545673      4.667085
      5.856569      0.468600      1.487853      1.510339      1.545388      4.686003
      5.892000      0.470488      1.488061      1.510276      1.545107      4.704884
      5.927431      0.472373      1.488271      1.510215      1.544829      4.723727
      5.962862      0.474253      1.488484      1.510154      1.544555      4.742532
      5.998293      0.476130      1.488700      1.510093      1.544284      4.761300
      6.033724      0.478003      1.488918      1.510033      1.544016      4.780031
      6.069155      0.479873      1.489138      1.509975      1.543752      4.798725
      6.104586      0.481738      1.489360      1.509916      1.543491      4.817384
      6.140017      0.483601      1.489585      1.509859      1.543232      4.836006
      6.175448      0.485459      1.489812      1.509802      1.542977      4.854592
      6.210879      0.487314      1.490040      1.509745      1.542725      4.873143
      6.246310      0.489166      1.490271      1.509690      1.542476      4.891658
      6.281741      0.491014      1.490504      1.509635      1.542230      4.910139
      6.317172      0.492858      1.490739      1.509580      1.541986      4.928585
      6.352603      0.494700      1.490976      1.509527      1.541745      4.946996
      6.388034      0.496537      1.491215      1.509473      1.541508      4.965373
      6.423465      0.498372      1.491456      1.509421      1.541272      4.983716
      6.458896      0.500203      1.491699      1.509369      1.541040      5.002026
      6.494327      0.502030      1.491944      1.509317      1.540810      5.020302
      6.529758      0.503855      1.492190      1.509267      1.540582      5.038545
      6.565189      0.505675      1.492438      1.509216      1.540357      5.056755
      6.600620      0.507493      1.492688      1.509166      1.540135      5.074932
      6.636051      0.509308      1.492940      1.509117      1.539915      5.093077
      6.671482      0.511119      1.493193      1.509069      1.539697      5.111189
      6.706913      0.512927      1.493448      1.509020      1.539482      5.129270
      6.742344      0.514732      1.493705      1.508973      1.539269      5.147318
      6.777775      0.516534      1.493963      1.508925      1.539059      5.165335
      6.813206      0.518332      1.494223      1.508879      1.538850      5.183321
      6.848637      0.520128      1.494484      1.508833      1.538644      5.201275
      6.884068      0.521920      1.494747      1.508787      1.538440      5.219199
      6.919499      0.523709      1.495012      1.508742      1.538238      5.237092
      6.954930      0.525495      1.495278      1.508697      1.538038      5.254954
      6.990361      0.527279      1.495545      1.508652      1.537841      5.272786
      7.025792      0.529059      1.495814      1.508609      1.537645      5.290588
      7.061223      0.530836      1.496084      1.508565      1.537452      5.308360
      7.096654      0.532610      1.496356      1.508522      1.537260      5.326102
      7.132085      0.534382      1.496629      1.508480      1.537070      5.343815
      7.167516      0.536150      1.496904      1.508437      1.536882      5.361499
      7.202947      0.537915      1.497180      1.508396      1.536697      5.379153
      7.238378      0.539678      1.497457      1.508354      1.536513      5.396778
      7.273809      0.541438      1.497735      1.508313      1.536330      5.414375
      7.309240      0.543194      1.498015      1.508273      1.536150      5.431943
      7.344671      0.544948      1.498296      1.508233      1.535972      5.449483
      7.380102      0.546699      1.498579      1.508193      1.535795      5.466995
      7.415533      0.548448      1.498862      1.508154      1.535620      5.484478
      7.450964      0.550193      1.499147      1.508115      1.535446      5.501934
      7.486395      0.551936      1.499433      1.508076      1.535275      5.519362
      7.521826      0.553676      1.499720      1.508038      1.535105      5.536763
      7.557257      0.555414      1.500009      1.508000      1.534936      5.554136
      7.592688      0.557148      1.500299      1.507962      1.534769      5.571483
      7.628119      0.558880      1.500589      1.507925      1.534604      5.588802
      7.663550      0.560609      1.500881      1.507888      1.534440      5.606095
      7.698981      0.562336      1.501174      1.507852      1.534278      5.623360
      7.734412      0.564060      1.501469      1.507816      1.534118      5.640600
      7.769843      0.565781      1.501764      1.507780      1.533959      5.657813
      7.805274      0.567500      1.502061      1.507744      1.533801      5.675000
      7.840705      0.569216      1.502358      1.507709      1.533645      5.692161
      7.876136      0.570930      1.502657      1.507674      1.533490      5.709296
      7.911567      0.572641      1.502957      1.507640      1.533337      5.726405
      7.946998      0.574349      1.503257      1.507606      1.533185      5.743489
      7.982429      0.576055      1.503559      1.507572      1.533034      5.760548
      8.017860      0.577758      1.503862      1.507538      1.532885      5.777581
      8.053291      0.579459      1.504166      1.507505      1.532737      5.794590
      8.088722      0.581157      1.504471      1.507472      1.532591      5.811573
      8.124153      0.582853      1.504777      1.507439      1.532446      5.828531
      8.159584      0.584547      1.505084      1.507407      1.532302      5.845465
      8.195015      0.586237      1.505392      1.507374      1.532159      5.862375
      8.230446      0.587926      1.505701      1.507342      1.532018      5.879260
      8.265877      0.589612      1.506011      1.507311      1.531877      5.896121
      8.301308      0.591296      1.506321      1.507279      1.531739      5.912958
      8.336739      0.592977      1.506633      1.507248      1.531601      5.929771
      8.372170      0.594656      1.506946      1.507218      1.531464      5.946560
      8.407601      0.596333      1.507260      1.507187      1.531329      5.963325
