  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   1.00000   1.00000   0.00000   0.00000   0.00000   0.10000   0.00000
Number of "drawing" timesteps:    500
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      1.000000      1.000000      1.000000
      0.104050      1.054259      1.054259      1.054259      1.040505
      0.108024      1.107954      1.107954      1.107954      1.080236
      0.111925      1.161097      1.161097      1.161097      1.119249
      0.115759      1.213703      1.213703      1.213703      1.157594
      0.119531      1.265783      1.265783      1.265783      1.195314
      0.123245      1.317349      1.317349      1.317349      1.232448
      0.126903      1.368412      1.368412      1.368412      1.269030
      0.130509      1.418981      1.418981      1.418981      1.305093
      0.134066      1.469067      1.469067      1.469067      1.340664
      0.137577      1.518679      1.518679      1.518679      1.375769
      0.141043      1.567825      1.567825      1.567825      1.410432
      0.144467      1.616514      1.616514      1.616514      1.444674
      0.147851      1.664754      1.664754      1.664754      1.478515
      0.151197      1.712552      1.712552      1.712552      1.511973
      0.154506      1.759915      1.759915      1.759915      1.545064
      0.157781      1.806850      1.806850      1.806850      1.577805
      0.161021      1.853364      1.853364      1.853364      1.610210
      0.164229      1.899463      1.899463      1.899463      1.642292
      0.167406      1.945153      1.945153      1.945153      1.674064
      0.170554      1.990441      1.990441      1.990441      1.705537
      0.173672      2.035332      2.035332      2.035332      1.736722
      0.176763      2.079831      2.079831      2.079831      1.767629
      0.179827      2.123944      2.123944      2.123944      1.798269
      0.182865      2.167675      2.167675      2.167675      1.828650
      0.185878      2.211031      2.211031      2.211031      1.858780
      0.188867      2.254015      2.254015      2.254015      1.888669
      0.191832      2.296633      2.296633      2.296633      1.918322
      0.194775      2.338888      2.338888      2.338888      1.947749
      0.197695      2.380786      2.380786      2.380786      1.976954
      0.200595      2.422330      2.422330      2.422330      2.005945
      0.203473      2.463525      2.463525      2.463525      2.034729
      0.206331      2.504374      2.504374      2.504374      2.063310
      0.209169      2.544883      2.544883      2.544883      2.091695
      0.211989      2.585053      2.585053      2.585053      2.119888
      0.214789      2.624890      2.624890      2.624890      2.147895
      0.217572      2.664397      2.664397      2.664397      2.175721
      0.220337      2.703577      2.703577      2.703577      2.203369
      0.223085      2.742434      2.742434      2.742434      2.230846
      0.225815      2.780971      2.780971      2.780971      2.258154
      0.228530      2.819192      2.819192      2.819192      2.285298
      0.231228      2.857100      2.857100      2.857100      2.312282
      0.233911      2.894697      2.894697      2.894697      2.339109
      0.236578      2.931987      2.931987      2.931987      2.365784
      0.239231      2.968974      2.968974      2.968974      2.392308
      0.241869      3.005659      3.005659      3.005659      2.418687
      0.244492      3.042047      3.042047      3.042047      2.444922
      0.247102      3.078139      3.078139      3.078139      2.471018
      0.249698      3.113938      3.113938      3.113938      2.496976
      0.252280      3.149448      3.149448      3.149448      2.522800
      0.254849      3.184670      3.184670      3.184670      2.548493
      0.257406      3.219608      3.219608      3.219608      2.574057
      0.259949      3.254264      3.254264      3.254264      2.599494
      0.262481      3.288641      3.288641      3.288641      2.624808
      0.265000      3.322740      3.322740      3.322740      2.650000
      0.267507      3.356565      3.356565      3.356565      2.675073
      0.270003      3.390118      3.390118      3.390118      2.700029
      0.272487      3.423401      3.423401      3.423401      2.724870
      0.274960      3.456416      3.456416      3.456416      2.749599
      0.277422      3.489166      3.489166      3.489166      2.774216
      0.279873      3.521653      3.521653      3.521653      2.798725
      0.282313      3.553880      3.553880      3.553880      2.823128
      0.284742      3.585847      3.585847      3.585847      2.847425
      0.287162      3.617558      3.617558      3.617558      2.871619
      0.289571      3.649014      3.649014      3.649014      2.895711
      0.291970      3.680218      3.680218      3.680218      2.919704
      0.294360      3.711171      3.711171      3.711171      2.943598
      0.296740      3.741875      3.741875      3.741875      2.967396
      0.299110      3.772334      3.772334      3.772334      2.991099
      0.301471      3.802547      3.802547      3.802547      3.014708
      0.303823      3.832517      3.832517      3.832517      3.038225
      0.306165      3.862247      3.862247      3.862247      3.061652
      0.308499      3.891738      3.891738      3.891738      3.084989
      0.310824      3.920991      3.920991      3.920991      3.108238
      0.313140      3.950009      3.950009      3.950009      3.131401
      0.315448      3.978793      3.978793      3.978793      3.154478
      0.317747      4.007345      4.007345      4.007345      3.177471
      0.320038      4.035667      4.035667      4.035667      3.200382
      0.322321      4.063760      4.063760      4.063760      3.223210
      0.324596      4.091626      4.091626      4.091626      3.245958
      0.326863      4.119266      4.119266      4.119266      3.268627
      0.329122      4.146683      4.146683      4.146683      3.291217
      0.331373      4.173878      4.173878      4.173878      3.313730
      0.333617      4.200853      4.200853      4.200853      3.336167
      0.335853      4.227608      4.227608      4.227608      3.358529
      0.338082      4.254146      4.254146      4.254146      3.380816
      0.340303      4.280467      4.280467      4.280467      3.403030
      0.342517      4.306575      4.306575      4.306575      3.425172
      0.344724      4.332469      4.332469      4.332469      3.447243
      0.346924      4.358152      4.358152      4.358152      3.469243
      0.349117      4.383625      4.383625      4.383625      3.491173
      0.351304      4.408888      4.408888      4.408888      3.513035
      0.353483      4.433945      4.433945      4.433945      3.534829
      0.355656      4.458796      4.458796      4.458796      3.556556
      0.357822      4.483442      4.483442      4.483442      3.578217
      0.359981      4.507885      4.507885      4.507885      3.599813
      0.362134      4.532126      4.532126      4.532126      3.621344
      0.364281      4.556167      4.556167      4.556167      3.642811
      0.366422      4.580008      4.580008      4.580008      3.664215
      0.368556      4.603651      4.603651      4.603651      3.685557
      0.370684      4.627098      4.627098      4.627098      3.706837
      0.372806      4.650350      4.650350      4.650350      3.728057
      0.374922      4.673407      4.673407      4.673407      3.749216
      0.377032      4.696271      4.696271      4.696271      3.770315
      0.379136      4.718944      4.718944      4.718944      3.791356
      0.381234      4.741426      4.741426      4.741426      3.812338
      0.383326      4.763718      4.763718      4.763718      3.833263
      0.385413      4.785823      4.785823      4.785823      3.854131
      0.387494      4.807741      4.807741      4.807741      3.874942
      0.389570      4.829473      4.829473      4.829473      3.895698
      0.391640      4.851020      4.851020      4.851020      3.916399
      0.393705      4.872383      4.872383      4.872383      3.937045
      0.395764      4.893565      4.893565      4.893565      3.957637
      0.397818      4.914565      4.914565      4.914565      3.978176
      0.399866      4.935385      4.935385      4.935385      3.998662
      0.401910      4.956025      4.956025      4.956025      4.019095
      0.403948      4.976488      4.976488      4.976488      4.039477
      0.405981      4.996773      4.996773      4.996773      4.059807
      0.408009      5.016883      5.016883      5.016883      4.080087
      0.410032      5.036818      5.036818      5.036818      4.100316
      0.412050      5.056579      5.056579      5.056579      4.120495
      0.414063      5.076167      5.076167      5.076167      4.140626
      0.416071      5.095584      5.095584      5.095584      4.160707
      0.418074      5.114829      5.114829      5.114829      4.180740
      0.420073      5.133905      5.133905      5.133905      4.200725
      0.422066      5.152812      5.152812      5.152812      4.220663
      0.424055      5.171551      5.171551      5.171551      4.240554
      0.426040      5.190123      5.190123      5.190123      4.260398
      0.428020      5.208530      5.208530      5.208530      4.280196
      0.429995      5.226771      5.226771      5.226771      4.299948
      0.431966      5.244848      5.244848      5.244848      4.319656
      0.433932      5.262763      5.262763      5.262763      4.339318
      0.435894      5.280515      5.280515      5.280515      4.358936
      0.437851      5.298105      5.298105      5.298105      4.378510
      0.439804      5.315536      5.315536      5.315536      4.398040
      0.441753      5.332807      5.332807      5.332807      4.417527
      0.443697      5.349919      5.349919      5.349919      4.436971
      0.445637      5.366874      5.366874      5.366874      4.456372
      0.447573      5.383671      5.383671      5.383671      4.475732
      0.449505      5.400313      5.400313      5.400313      4.495049
      0.451433      5.416800      5.416800      5.416800      4.514325
      0.453356      5.433133      5.433133      5.433133      4.533560
      0.455275      5.449312      5.449312      5.449312      4.552755
      0.457191      5.465338      5.465338      5.465338      4.571909
      0.459102      5.481213      5.481213      5.481213      4.591023
      0.461010      5.496937      5.496937      5.496937      4.610097
      0.462913      5.512511      5.512511      5.512511      4.629132
      0.464813      5.527936      5.527936      5.527936      4.648128
      0.466708      5.543212      5.543212      5.543212      4.667085
      0.468600      5.558340      5.558340      5.558340      4.686003
      0.470488      5.573322      5.573322      5.573322      4.704884
      0.472373      5.588157      5.588157      5.588157      4.723727
      0.474253      5.602848      5.602848      5.602848      4.742532
      0.476130      5.617393      5.617393      5.617393      4.761300
      0.478003      5.631795      5.631795      5.631795      4.780031
      0.479873      5.646054      5.646054      5.646054      4.798725
      0.481738      5.660170      5.660170      5.660170      4.817384
      0.483601      5.674145      5.674145      5.674145      4.836006
      0.485459      5.687980      5.687980      5.687980      4.854592
      0.487314      5.701674      5.701674      5.701674      4.873143
      0.489166      5.715229      5.715229      5.715229      4.891658
      0.491014      5.728645      5.728645      5.728645      4.910139
      0.492858      5.741923      5.741923      5.741923      4.928585
      0.494700      5.755064      5.755064      5.755064      4.946996
      0.496537      5.768069      5.768069      5.768069      4.965373
      0.498372      5.780938      5.780938      5.780938      4.983716
      0.500203      5.793672      5.793672      5.793672      5.002026
      0.502030      5.806271      5.806271      5.806271      5.020302
      0.503855      5.818737      5.818737      5.818737      5.038545
      0.505675      5.831070      5.831070      5.831070      5.056755
      0.507493      5.843271      5.843271      5.843271      5.074932
      0.509308      5.855340      5.855340      5.855340      5.093077
