  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   1.00000   1.00000   0.00000   0.00000   0.00000   0.10000   0.00000
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.333333      1.333333      1.333333      1.000000
      0.612781      0.104050      1.328232      1.328232      1.328232      1.040505
      0.648212      0.108024      1.323118      1.323118      1.323118      1.080236
      0.683643      0.111925      1.317999      1.317999      1.317999      1.119249
      0.719074      0.115759      1.312884      1.312884      1.312884      1.157594
      0.754505      0.119531      1.307776      1.307776      1.307776      1.195314
      0.789936      0.123245      1.302680      1.302680      1.302680      1.232448
      0.825367      0.126903      1.297598      1.297598      1.297598      1.269030
      0.860798      0.130509      1.292532      1.292532      1.292532      1.305093
      0.896229      0.134066      1.287485      1.287485      1.287485      1.340664
      0.931660      0.137577      1.282456      1.282456      1.282456      1.375769
      0.967091      0.141043      1.277447      1.277447      1.277447      1.410432
      1.002522      0.144467      1.272459      1.272459      1.272459      1.444674
      1.037953      0.147851      1.267491      1.267491      1.267491      1.478515
      1.073384      0.151197      1.262543      1.262543      1.262543      1.511973
      1.108815      0.154506      1.257616      1.257616      1.257616      1.545064
      1.144246      0.157781      1.252710      1.252710      1.252710      1.577805
      1.179677      0.161021      1.247823      1.247823      1.247823      1.610210
      1.215108      0.164229      1.242956      1.242956      1.242956      1.642292
      1.250539      0.167406      1.238109      1.238109      1.238109      1.674064
      1.285970      0.170554      1.233281      1.233281      1.233281      1.705537
      1.321401      0.173672      1.228472      1.228472      1.228472      1.736722
      1.356832      0.176763      1.223681      1.223681      1.223681      1.767629
      1.392263      0.179827      1.218909      1.218909      1.218909      1.798269
      1.427694      0.182865      1.214154      1.214154      1.214154      1.828650
      1.463125      0.185878      1.209416      1.209416      1.209416      1.858780
      1.498556      0.188867      1.204694      1.204694      1.204694      1.888669
      1.533987      0.191832      1.199989      1.199989      1.199989      1.918322
      1.569418      0.194775      1.195300      1.195300      1.195300      1.947749
      1.604849      0.197695      1.190627      1.190627      1.190627      1.976954
      1.640280      0.200595      1.185968      1.185968      1.185968      2.005945
      1.675711      0.203473      1.181324      1.181324      1.181324      2.034729
      1.711142      0.206331      1.176695      1.176695      1.176695      2.063310
      1.746573      0.209169      1.172079      1.172079      1.172079      2.091695
      1.782004      0.211989      1.167477      1.167477      1.167477      2.119888
      1.817435      0.214789      1.162888      1.162888      1.162888      2.147895
      1.852866      0.217572      1.158311      1.158311      1.158311      2.175721
      1.888297      0.220337      1.153747      1.153747      1.153747      2.203369
      1.923728      0.223085      1.149195      1.149195      1.149195      2.230846
      1.959159      0.225815      1.144655      1.144655      1.144655      2.258154
      1.994590      0.228530      1.140126      1.140126      1.140126      2.285298
      2.030021      0.231228      1.135608      1.135608      1.135608      2.312282
      2.065452      0.233911      1.131101      1.131101      1.131101      2.339109
      2.100883      0.236578      1.126604      1.126604      1.126604      2.365784
      2.136314      0.239231      1.122117      1.122117      1.122117      2.392308
      2.171745      0.241869      1.117641      1.117641      1.117641      2.418687
      2.207176      0.244492      1.113173      1.113173      1.113173      2.444922
      2.242607      0.247102      1.108715      1.108715      1.108715      2.471018
      2.278038      0.249698      1.104266      1.104266      1.104266      2.496976
      2.313469      0.252280      1.099826      1.099826      1.099826      2.522800
      2.348900      0.254849      1.095394      1.095394      1.095394      2.548493
      2.384331      0.257406      1.090970      1.090970      1.090970      2.574057
      2.419762      0.259949      1.086554      1.086554      1.086554      2.599494
      2.455193      0.262481      1.082146      1.082146      1.082146      2.624808
      2.490624      0.265000      1.077746      1.077746      1.077746      2.650000
      2.526055      0.267507      1.073353      1.073353      1.073353      2.675073
      2.561486      0.270003      1.068966      1.068966      1.068966      2.700029
      2.596917      0.272487      1.064587      1.064587      1.064587      2.724870
      2.632348      0.274960      1.060214      1.060214      1.060214      2.749599
      2.667779      0.277422      1.055847      1.055847      1.055847      2.774216
      2.703210      0.279873      1.051487      1.051487      1.051487      2.798725
      2.738641      0.282313      1.047133      1.047133      1.047133      2.823128
      2.774072      0.284742      1.042784      1.042784      1.042784      2.847425
      2.809503      0.287162      1.038441      1.038441      1.038441      2.871619
      2.844934      0.289571      1.034104      1.034104      1.034104      2.895711
      2.880365      0.291970      1.029772      1.029772      1.029772      2.919704
      2.915796      0.294360      1.025444      1.025444      1.025444      2.943598
      2.951227      0.296740      1.021122      1.021122      1.021122      2.967396
      2.986658      0.299110      1.016805      1.016805      1.016805      2.991099
      3.022089      0.301471      1.012491      1.012491      1.012491      3.014708
      3.057520      0.303823      1.008183      1.008183      1.008183      3.038225
      3.092951      0.306165      1.003878      1.003878      1.003878      3.061652
      3.128382      0.308499      0.999578      0.999578      0.999578      3.084989
      3.163813      0.310824      0.995281      0.995281      0.995281      3.108238
      3.199244      0.313140      0.990989      0.990989      0.990989      3.131401
      3.234675      0.315448      0.986700      0.986700      0.986700      3.154478
      3.270106      0.317747      0.982414      0.982414      0.982414      3.177471
      3.305537      0.320038      0.978132      0.978132      0.978132      3.200382
      3.340968      0.322321      0.973852      0.973852      0.973852      3.223210
      3.376399      0.324596      0.969576      0.969576      0.969576      3.245958
      3.411830      0.326863      0.965303      0.965303      0.965303      3.268627
      3.447261      0.329122      0.961033      0.961033      0.961033      3.291217
      3.482692      0.331373      0.956765      0.956765      0.956765      3.313730
      3.518123      0.333617      0.952500      0.952500      0.952500      3.336167
      3.553554      0.335853      0.948237      0.948237      0.948237      3.358529
      3.588985      0.338082      0.943976      0.943976      0.943976      3.380816
      3.624416      0.340303      0.939718      0.939718      0.939718      3.403030
      3.659847      0.342517      0.935462      0.935462      0.935462      3.425172
      3.695278      0.344724      0.931207      0.931207      0.931207      3.447243
      3.730709      0.346924      0.926955      0.926955      0.926955      3.469243
      3.766140      0.349117      0.922704      0.922704      0.922704      3.491173
      3.801571      0.351304      0.918454      0.918454      0.918454      3.513035
      3.837002      0.353483      0.914206      0.914206      0.914206      3.534829
      3.872433      0.355656      0.909960      0.909960      0.909960      3.556556
      3.907864      0.357822      0.905715      0.905715      0.905715      3.578217
      3.943295      0.359981      0.901471      0.901471      0.901471      3.599813
      3.978726      0.362134      0.897228      0.897228      0.897228      3.621344
      4.014157      0.364281      0.892986      0.892986      0.892986      3.642811
      4.049588      0.366422      0.888744      0.888744      0.888744      3.664215
      4.085019      0.368556      0.884504      0.884504      0.884504      3.685557
      4.120450      0.370684      0.880264      0.880264      0.880264      3.706837
      4.155881      0.372806      0.876025      0.876025      0.876025      3.728057
      4.191312      0.374922      0.871786      0.871786      0.871786      3.749216
      4.226743      0.377032      0.867547      0.867547      0.867547      3.770315
      4.262174      0.379136      0.863309      0.863309      0.863309      3.791356
      4.297605      0.381234      0.859071      0.859071      0.859071      3.812338
      4.333036      0.383326      0.854833      0.854833      0.854833      3.833263
      4.368467      0.385413      0.850595      0.850595      0.850595      3.854131
      4.403898      0.387494      0.846357      0.846357      0.846357      3.874942
      4.439329      0.389570      0.842119      0.842119      0.842119      3.895698
      4.474760      0.391640      0.837881      0.837881      0.837881      3.916399
      4.510191      0.393705      0.833642      0.833642      0.833642      3.937045
      4.545622      0.395764      0.829403      0.829403      0.829403      3.957637
      4.581053      0.397818      0.825163      0.825163      0.825163      3.978176
      4.616484      0.399866      0.820923      0.820923      0.820923      3.998662
      4.651915      0.401910      0.816682      0.816682      0.816682      4.019095
      4.687346      0.403948      0.812440      0.812440      0.812440      4.039477
      4.722777      0.405981      0.808198      0.808198      0.808198      4.059807
      4.758208      0.408009      0.803954      0.803954      0.803954      4.080087
      4.793639      0.410032      0.799710      0.799710      0.799710      4.100316
      4.829070      0.412050      0.795465      0.795465      0.795465      4.120495
      4.864501      0.414063      0.791218      0.791218      0.791218      4.140626
      4.899932      0.416071      0.786970      0.786970      0.786970      4.160707
      4.935363      0.418074      0.782721      0.782721      0.782721      4.180740
      4.970794      0.420073      0.778471      0.778471      0.778471      4.200725
      5.006225      0.422066      0.774219      0.774219      0.774219      4.220663
      5.041656      0.424055      0.769965      0.769965      0.769965      4.240554
      5.077087      0.426040      0.765711      0.765711      0.765711      4.260398
      5.112518      0.428020      0.761454      0.761454      0.761454      4.280196
      5.147949      0.429995      0.757196      0.757196      0.757196      4.299948
      5.183380      0.431966      0.752935      0.752935      0.752935      4.319656
      5.218811      0.433932      0.748674      0.748674      0.748674      4.339318
      5.254242      0.435894      0.744410      0.744410      0.744410      4.358936
      5.289673      0.437851      0.740144      0.740144      0.740144      4.378510
      5.325104      0.439804      0.735876      0.735876      0.735876      4.398040
      5.360535      0.441753      0.731606      0.731606      0.731606      4.417527
      5.395966      0.443697      0.727333      0.727333      0.727333      4.436971
      5.431397      0.445637      0.723059      0.723059      0.723059      4.456372
      5.466828      0.447573      0.718782      0.718782      0.718782      4.475732
      5.502259      0.449505      0.714503      0.714503      0.714503      4.495049
      5.537690      0.451433      0.710221      0.710221      0.710221      4.514325
      5.573121      0.453356      0.705937      0.705937      0.705937      4.533560
      5.608552      0.455275      0.701650      0.701650      0.701650      4.552755
      5.643983      0.457191      0.697360      0.697360      0.697360      4.571909
      5.679414      0.459102      0.693068      0.693068      0.693068      4.591023
      5.714845      0.461010      0.688773      0.688773      0.688773      4.610097
      5.750276      0.462913      0.684475      0.684475      0.684475      4.629132
      5.785707      0.464813      0.680175      0.680175      0.680175      4.648128
      5.821138      0.466708      0.675871      0.675871      0.675871      4.667085
      5.856569      0.468600      0.671564      0.671564      0.671564      4.686003
      5.892000      0.470488      0.667254      0.667254      0.667254      4.704884
      5.927431      0.472373      0.662941      0.662941      0.662941      4.723727
      5.962862      0.474253      0.658625      0.658625      0.658625      4.742532
      5.998293      0.476130      0.654306      0.654306      0.654306      4.761300
      6.033724      0.478003      0.649983      0.649983      0.649983      4.780031
      6.069155      0.479873      0.645657      0.645657      0.645657      4.798725
      6.104586      0.481738      0.641327      0.641327      0.641327      4.817384
      6.140017      0.483601      0.636994      0.636994      0.636994      4.836006
      6.175448      0.485459      0.632657      0.632657      0.632657      4.854592
      6.210879      0.487314      0.628317      0.628317      0.628317      4.873143
      6.246310      0.489166      0.623973      0.623973      0.623973      4.891658
      6.281741      0.491014      0.619625      0.619625      0.619625      4.910139
      6.317172      0.492858      0.615274      0.615274      0.615274      4.928585
      6.352603      0.494700      0.610919      0.610919      0.610919      4.946996
      6.388034      0.496537      0.606559      0.606559      0.606559      4.965373
      6.423465      0.498372      0.602196      0.602196      0.602196      4.983716
      6.458896      0.500203      0.597829      0.597829      0.597829      5.002026
      6.494327      0.502030      0.593457      0.593457      0.593457      5.020302
      6.529758      0.503855      0.589082      0.589082      0.589082      5.038545
      6.565189      0.505675      0.584702      0.584702      0.584702      5.056755
      6.600620      0.507493      0.580318      0.580318      0.580318      5.074932
      6.636051      0.509308      0.575930      0.575930      0.575930      5.093077
      6.671482      0.511119      0.571537      0.571537      0.571537      5.111189
      6.706913      0.512927      0.567140      0.567140      0.567140      5.129270
      6.742344      0.514732      0.562738      0.562738      0.562738      5.147318
      6.777775      0.516534      0.558332      0.558332      0.558332      5.165335
      6.813206      0.518332      0.553921      0.553921      0.553921      5.183321
      6.848637      0.520128      0.549506      0.549506      0.549506      5.201275
      6.884068      0.521920      0.545086      0.545086      0.545086      5.219199
      6.919499      0.523709      0.540661      0.540661      0.540661      5.237092
      6.954930      0.525495      0.536232      0.536232      0.536232      5.254954
      6.990361      0.527279      0.531797      0.531797      0.531797      5.272786
      7.025792      0.529059      0.527358      0.527358      0.527358      5.290588
      7.061223      0.530836      0.522913      0.522913      0.522913      5.308360
      7.096654      0.532610      0.518464      0.518464      0.518464      5.326102
      7.132085      0.534382      0.514009      0.514009      0.514009      5.343815
      7.167516      0.536150      0.509549      0.509549      0.509549      5.361499
      7.202947      0.537915      0.505085      0.505085      0.505085      5.379153
      7.238378      0.539678      0.500614      0.500614      0.500614      5.396778
      7.273809      0.541438      0.496139      0.496139      0.496139      5.414375
      7.309240      0.543194      0.491658      0.491658      0.491658      5.431943
      7.344671      0.544948      0.487172      0.487172      0.487172      5.449483
      7.380102      0.546699      0.482680      0.482680      0.482680      5.466995
      7.415533      0.548448      0.478183      0.478183      0.478183      5.484478
      7.450964      0.550193      0.473680      0.473680      0.473680      5.501934
      7.486395      0.551936      0.469172      0.469172      0.469172      5.519362
      7.521826      0.553676      0.464658      0.464658      0.464658      5.536763
      7.557257      0.555414      0.460138      0.460138      0.460138      5.554136
      7.592688      0.557148      0.455612      0.455612      0.455612      5.571483
      7.628119      0.558880      0.451080      0.451080      0.451080      5.588802
      7.663550      0.560609      0.446543      0.446543      0.446543      5.606095
      7.698981      0.562336      0.441999      0.441999      0.441999      5.623360
      7.734412      0.564060      0.437450      0.437450      0.437450      5.640600
      7.769843      0.565781      0.432894      0.432894      0.432894      5.657813
      7.805274      0.567500      0.428333      0.428333      0.428333      5.675000
      7.840705      0.569216      0.423765      0.423765      0.423765      5.692161
      7.876136      0.570930      0.419191      0.419191      0.419191      5.709296
      7.911567      0.572641      0.414610      0.414610      0.414610      5.726405
      7.946998      0.574349      0.410024      0.410024      0.410024      5.743489
      7.982429      0.576055      0.405431      0.405431      0.405431      5.760548
      8.017860      0.577758      0.400831      0.400831      0.400831      5.777581
      8.053291      0.579459      0.396225      0.396225      0.396225      5.794590
      8.088722      0.581157      0.391612      0.391612      0.391612      5.811573
      8.124153      0.582853      0.386993      0.386993      0.386993      5.828531
      8.159584      0.584547      0.382367      0.382367      0.382367      5.845465
      8.195015      0.586237      0.377734      0.377734      0.377734      5.862375
      8.230446      0.587926      0.373095      0.373095      0.373095      5.879260
      8.265877      0.589612      0.368448      0.368448      0.368448      5.896121
      8.301308      0.591296      0.363795      0.363795      0.363795      5.912958
      8.336739      0.592977      0.359135      0.359135      0.359135      5.929771
      8.372170      0.594656      0.354468      0.354468      0.354468      5.946560
      8.407601      0.596333      0.349794      0.349794      0.349794      5.963325
      8.443032      0.598007      0.345112      0.345112      0.345112      5.980067
      8.478463      0.599679      0.340424      0.340424      0.340424      5.996785
      8.513894      0.601348      0.335728      0.335728      0.335728      6.013481
      8.549325      0.603015      0.331025      0.331025      0.331025      6.030153
      8.584756      0.604680      0.326314      0.326314      0.326314      6.046802
      8.620187      0.606343      0.321596      0.321596      0.321596      6.063428
      8.655618      0.608003      0.316871      0.316871      0.316871      6.080031
      8.691049      0.609661      0.312138      0.312138      0.312138      6.096612
      8.726480      0.611317      0.307398      0.307398      0.307398      6.113170
      8.761911      0.612971      0.302650      0.302650      0.302650      6.129706
      8.797342      0.614622      0.297894      0.297894      0.297894      6.146220
      8.832773      0.616271      0.293131      0.293131      0.293131      6.162711
      8.868204      0.617918      0.288359      0.288359      0.288359      6.179180
      8.903635      0.619563      0.283580      0.283580      0.283580      6.195628
      8.939066      0.621205      0.278793      0.278793      0.278793      6.212053
      8.974497      0.622846      0.273998      0.273998      0.273998      6.228457
      9.009928      0.624484      0.269195      0.269195      0.269195      6.244840
      9.045359      0.626120      0.264384      0.264384      0.264384      6.261201
      9.080790      0.627754      0.259564      0.259564      0.259564      6.277540
      9.116221      0.629386      0.254737      0.254737      0.254737      6.293859
      9.151652      0.631016      0.249901      0.249901      0.249901      6.310156
      9.187083      0.632643      0.245057      0.245057      0.245057      6.326432
      9.222514      0.634269      0.240204      0.240204      0.240204      6.342687
      9.257945      0.635892      0.235343      0.235343      0.235343      6.358922
      9.293376      0.637514      0.230474      0.230474      0.230474      6.375136
      9.328807      0.639133      0.225596      0.225596      0.225596      6.391329
      9.364238      0.640750      0.220709      0.220709      0.220709      6.407501
      9.399669      0.642365      0.215814      0.215814      0.215814      6.423654
      9.435100      0.643979      0.210910      0.210910      0.210910      6.439786
      9.470531      0.645590      0.205997      0.205997      0.205997      6.455898
      9.505962      0.647199      0.201075      0.201075      0.201075      6.471989
      9.541393      0.648806      0.196144      0.196144      0.196144      6.488061
      9.576824      0.650411      0.191204      0.191204      0.191204      6.504113
      9.612255      0.652015      0.186256      0.186256      0.186256      6.520145
