  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.50000
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.800000      0.600000      1.000000
      0.612852      0.104059      1.064429      0.857062      0.653927      1.040585
      0.648355      0.108039      1.145481      0.923279      0.712085      1.080394
      0.683857      0.111948      1.242406      0.998262      0.774425      1.119482
      0.719359      0.115790      1.354805      1.081719      0.840875      1.157899
      0.754861      0.119569      1.482537      1.173429      0.911353      1.195689
      0.790363      0.123289      1.625648      1.273225      0.985766      1.232892
      0.825865      0.126954      1.784336      1.380979      1.064017      1.269540
      0.861367      0.130567      1.958912      1.496592      1.146004      1.305668
      0.896870      0.134130      2.149787      1.619991      1.231626      1.341302
      0.932372      0.137647      2.357450      1.751116      1.320782      1.376469
      0.967874      0.141119      2.582464      1.889923      1.413369      1.411193
      1.003376      0.144549      2.825455      2.036377      1.509288      1.445494
      1.038878      0.147939      3.087107      2.190449      1.608440      1.479393
      1.074380      0.151291      3.368159      2.352115      1.710728      1.512908
      1.109882      0.154606      3.669401      2.521356      1.816058      1.546055
      1.145385      0.157885      3.991675      2.698152      1.924335      1.578852
      1.180887      0.161131      4.335871      2.882487      2.035468      1.611311
      1.216389      0.164345      4.702929      3.074344      2.149370      1.643446
      1.251891      0.167527      5.093837      3.273704      2.265952      1.675270
      1.287393      0.170679      5.509636      3.480549      2.385130      1.706794
      1.322895      0.173803      5.951415      3.694860      2.506821      1.738031
      1.358397      0.176899      6.420313      3.916613      2.630945      1.768988
      1.393900      0.179968      6.917525      4.145785      2.757422      1.799678
      1.429402      0.183011      7.444299      4.382349      2.886176      1.830108
      1.464904      0.186029      8.001938      4.626277      3.017131      1.860287
      1.500406      0.189022      8.591804      4.877537      3.150217      1.890223
      1.535908      0.191992      9.215316      5.136095      3.285361      1.919923
      1.571410      0.194940      9.873957      5.401915      3.422494      1.949396
      1.606912      0.197865     10.569273      5.674957      3.561551      1.978648
      1.642415      0.200769     11.302876      5.955178      3.702465      2.007685
      1.677917      0.203651     12.076443      6.242534      3.845174      2.036514
      1.713419      0.206514     12.891728      6.536978      3.989616      2.065140
      1.748921      0.209357     13.750553      6.838458      4.135731      2.093569
      1.784423      0.212181     14.654818      7.146921      4.283462      2.121806
      1.819925      0.214986     15.606504      7.462313      4.432753      2.149856
