  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.50000
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.359985      1.595505      2.106017      1.000000
      0.612852      0.104059      1.773425      1.864495      2.219378      1.040585
      0.648355      0.108039      2.130301      2.096338      2.318149      1.080394
      0.683857      0.111948      2.435020      2.294152      2.403049      1.119482
      0.719359      0.115790      2.693675      2.461782      2.475187      1.157899
      0.754861      0.119569      2.912846      2.603217      2.535847      1.195689
      0.790363      0.123289      3.098853      2.722249      2.586356      1.232892
      0.825865      0.126954      3.257386      2.822302      2.627990      1.269540
      0.861367      0.130567      3.393356      2.906369      2.661928      1.305668
      0.896870      0.134130      3.510894      2.977011      2.689230      1.341302
      0.932372      0.137647      3.613419      3.036388      2.710832      1.376469
      0.967874      0.141119      3.703728      3.086311      2.727549      1.411193
      1.003376      0.144549      3.784096      3.128282      2.740084      1.445494
      1.038878      0.147939      3.856367      3.163552      2.749043      1.479393
      1.074380      0.151291      3.922035      3.193156      2.754943      1.512908
      1.109882      0.154606      3.982308      3.217950      2.758227      1.546055
      1.145385      0.157885      4.038167      3.238648      2.759273      1.578852
      1.180887      0.161131      4.090409      3.255841      2.758403      1.611311
      1.216389      0.164345      4.139684      3.270024      2.755892      1.643446
      1.251891      0.167527      4.186522      3.281608      2.751977      1.675270
      1.287393      0.170679      4.231359      3.290939      2.746859      1.706794
      1.322895      0.173803      4.274552      3.298310      2.740712      1.738031
      1.358397      0.176899      4.316396      3.303964      2.733685      1.768988
      1.393900      0.179968      4.357136      3.308110      2.725907      1.799678
      1.429402      0.183011      4.396975      3.310926      2.717488      1.830108
      1.464904      0.186029      4.436082      3.312561      2.708524      1.860287
      1.500406      0.189022      4.474599      3.313145      2.699099      1.890223
      1.535908      0.191992      4.512642      3.312790      2.689285      1.919923
      1.571410      0.194940      4.550313      3.311590      2.679146      1.949396
      1.606912      0.197865      4.587693      3.309630      2.668736      1.978648
      1.642415      0.200769      4.624854      3.306982      2.658103      2.007685
      1.677917      0.203651      4.661855      3.303708      2.647289      2.036514
      1.713419      0.206514      4.698745      3.299864      2.636333      2.065140
      1.748921      0.209357      4.735568      3.295500      2.625265      2.093569
      1.784423      0.212181      4.772359      3.290658      2.614114      2.121806
      1.819925      0.214986      4.809147      3.285376      2.602907      2.149856
      1.855427      0.217773      4.845959      3.279689      2.591664      2.177725
      1.890930      0.220542      4.882816      3.273628      2.580407      2.205417
      1.926432      0.223294      4.919736      3.267220      2.569151      2.232935
      1.961934      0.226029      4.956734      3.260490      2.557912      2.260286
      1.997436      0.228747      4.993823      3.253461      2.546704      2.287471
      2.032938      0.231450      5.031011      3.246153      2.535539      2.314497
      2.068440      0.234136      5.068309      3.238586      2.524427      2.341365
      2.103943      0.236808      5.105722      3.230776      2.513378      2.368080
      2.139445      0.239464      5.143255      3.222740      2.502399      2.394645
      2.174947      0.242106      5.180914      3.214493      2.491499      2.421063
      2.210449      0.244734      5.218699      3.206049      2.480683      2.447339
      2.245951      0.247347      5.256614      3.197420      2.469958      2.473474
      2.281453      0.249947      5.294659      3.188618      2.459327      2.499471
      2.316955      0.252533      5.332834      3.179655      2.448796      2.525334
      2.352458      0.255107      5.371139      3.170542      2.438368      2.551066
      2.387960      0.257667      5.409573      3.161289      2.428046      2.576668
      2.423462      0.260214      5.448135      3.151906      2.417832      2.602143
      2.458964      0.262749      5.486822      3.142401      2.407731      2.627495
      2.494466      0.265272      5.525633      3.132784      2.397742      2.652725
      2.529968      0.267783      5.564564      3.123062      2.387868      2.677835
      2.565470      0.270283      5.603612      3.113243      2.378111      2.702828
      2.600973      0.272771      5.642774      3.103337      2.368471      2.727706
      2.636475      0.275247      5.682046      3.093348      2.358948      2.752471
      2.671977      0.277713      5.721425      3.083286      2.349545      2.777126
      2.707479      0.280167      5.760907      3.073155      2.340260      2.801671
      2.742981      0.282611      5.800487      3.062964      2.331095      2.826109
      2.778483      0.285044      5.840161      3.052718      2.322049      2.850442
      2.813985      0.287467      5.879925      3.042423      2.313122      2.874672
      2.849488      0.289880      5.919774      3.032086      2.304314      2.898800
      2.884990      0.292283      5.959704      3.021710      2.295624      2.922828
      2.920492      0.294676      5.999709      3.011304      2.287052      2.946758
      2.955994      0.297059      6.039786      3.000870      2.278597      2.970590
      2.991496      0.299433      6.079929      2.990415      2.270259      2.994328
      3.026998      0.301797      6.120133      2.979943      2.262037      3.017972
      3.062500      0.304152      6.160394      2.969460      2.253930      3.041524
      3.098003      0.306498      6.200706      2.958969      2.245937      3.064984
      3.133505      0.308836      6.241065      2.948475      2.238057      3.088356
      3.169007      0.311164      6.281466      2.937982      2.230289      3.111639
      3.204509      0.313484      6.321904      2.927495      2.222632      3.134835
      3.240011      0.315795      6.362373      2.917017      2.215084      3.157946
      3.275513      0.318097      6.402870      2.906552      2.207646      3.180973
      3.311015      0.320392      6.443389      2.896104      2.200315      3.203917
      3.346518      0.322678      6.483926      2.885676      2.193090      3.226779
      3.382020      0.324956      6.524476      2.875272      2.185970      3.249560
      3.417522      0.327226      6.565033      2.864895      2.178954      3.272261
      3.453024      0.329488      6.605594      2.854547      2.172040      3.294884
      3.488526      0.331743      6.646154      2.844233      2.165227      3.317430
      3.524028      0.333990      6.686708      2.833955      2.158515      3.339899
      3.559530      0.336229      6.727252      2.823714      2.151900      3.362293
      3.595033      0.338461      6.767782      2.813516      2.145383      3.384613
      3.630535      0.340686      6.808292      2.803360      2.138962      3.406859
      3.666037      0.342903      6.848780      2.793251      2.132635      3.429033
      3.701539      0.345114      6.889240      2.783191      2.126402      3.451135
      3.737041      0.347317      6.929668      2.773180      2.120260      3.473167
      3.772543      0.349513      6.970061      2.763222      2.114209      3.495129
      3.808045      0.351702      7.010415      2.753319      2.108247      3.517023
      3.843548      0.353885      7.050725      2.743472      2.102373      3.538848
      3.879050      0.356061      7.090989      2.733683      2.096585      3.560607
      3.914552      0.358230      7.131202      2.723954      2.090883      3.582299
      3.950054      0.360393      7.171360      2.714286      2.085264      3.603925
      3.985556      0.362549      7.211461      2.704680      2.079728      3.625487
      4.021058      0.364699      7.251501      2.695139      2.074273      3.646985
      4.056560      0.366842      7.291477      2.685663      2.068899      3.668420
      4.092063      0.368979      7.331385      2.676253      2.063603      3.689792
      4.127565      0.371110      7.371222      2.666911      2.058385      3.711103
      4.163067      0.373235      7.410985      2.657638      2.053243      3.732353
      4.198569      0.375354      7.450672      2.648434      2.048176      3.753542
      4.234071      0.377467      7.490279      2.639301      2.043183      3.774672
      4.269573      0.379574      7.529804      2.630239      2.038262      3.795742
      4.305076      0.381675      7.569245      2.621249      2.033413      3.816755
      4.340578      0.383771      7.608597      2.612331      2.028635      3.837710
      4.376080      0.385861      7.647860      2.603487      2.023925      3.858607
      4.411582      0.387945      7.687031      2.594716      2.019284      3.879448
      4.447084      0.390023      7.726107      2.586020      2.014709      3.900234
      4.482586      0.392096      7.765086      2.577399      2.010201      3.920964
      4.518088      0.394164      7.803967      2.568852      2.005756      3.941639
      4.553591      0.396226      7.842747      2.560381      2.001376      3.962261
      4.589093      0.398283      7.881423      2.551985      1.997058      3.982829
      4.624595      0.400334      7.919996      2.543665      1.992801      4.003344
      4.660097      0.402381      7.958461      2.535420      1.988605      4.023806
      4.695599      0.404422      7.996819      2.527252      1.984469      4.044217
      4.731101      0.406458      8.035067      2.519159      1.980391      4.064576
      4.766603      0.408488      8.073204      2.511143      1.976370      4.084884
      4.802106      0.410514      8.111227      2.503203      1.972406      4.105142
      4.837608      0.412535      8.149137      2.495338      1.968497      4.125350
      4.873110      0.414551      8.186932      2.487549      1.964643      4.145509
      4.908612      0.416562      8.224610      2.479836      1.960843      4.165619
      4.944114      0.418568      8.262170      2.472199      1.957095      4.185681
      4.979616      0.420569      8.299611      2.464636      1.953399      4.205694
      5.015118      0.422566      8.336932      2.457149      1.949754      4.225660
      5.050621      0.424558      8.374132      2.449737      1.946160      4.245579
      5.086123      0.426545      8.411211      2.442398      1.942614      4.265451
      5.121625      0.428528      8.448167      2.435134      1.939117      4.285277
      5.157127      0.430506      8.484999      2.427944      1.935668      4.305058
      5.192629      0.432479      8.521708      2.420827      1.932266      4.324793
      5.228131      0.434448      8.558292      2.413784      1.928909      4.344483
      5.263633      0.436413      8.594750      2.406812      1.925598      4.364128
      5.299136      0.438373      8.631082      2.399913      1.922331      4.383730
      5.334638      0.440329      8.667288      2.393086      1.919108      4.403287
      5.370140      0.442280      8.703367      2.386330      1.915928      4.422802
