  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.50000
      Tau        exp. factor        a1             a2             a3         exp. ratio   
      0.577350      0.100000      1.000000      0.800000      0.600000      1.000000
      0.612781      0.104050      1.058105      0.855591      0.655134      1.040505
      0.648212      0.108024      1.119053      0.916485      0.716318      1.080236
      0.683643      0.111925      1.181108      0.981403      0.782770      1.119249
      0.719074      0.115759      1.242937      1.049250      0.853761      1.157594
      0.754505      0.119531      1.303589      1.119110      0.928610      1.195314
      0.789936      0.123245      1.362432      1.190223      1.006682      1.232448
      0.825367      0.126903      1.419092      1.261964      1.087383      1.269030
      0.860798      0.130509      1.473385      1.333823      1.170161      1.305093
      0.896229      0.134066      1.525268      1.405387      1.254496      1.340664
      0.931660      0.137577      1.574794      1.476319      1.339905      1.375769
      0.967091      0.141043      1.622078      1.546350      1.425939      1.410432
      1.002522      0.144467      1.667274      1.615265      1.512179      1.444674
      1.037953      0.147851      1.710555      1.682893      1.598240      1.478515
      1.073384      0.151197      1.752103      1.749102      1.683766      1.511973
      1.108815      0.154506      1.792099      1.813789      1.768435      1.545064
      1.144246      0.157781      1.830714      1.876881      1.851955      1.577805
      1.179677      0.161021      1.868113      1.938322      1.934061      1.610210
      1.215108      0.164229      1.904445      1.998076      2.014519      1.642292
      1.250539      0.167406      1.939848      2.056124      2.093125      1.674064
      1.285970      0.170554      1.974444      2.112455      2.169699      1.705537
      1.321401      0.173672      2.008345      2.167072      2.244088      1.736722
      1.356832      0.176763      2.041647      2.219985      2.316163      1.767629
      1.392263      0.179827      2.074436      2.271210      2.385819      1.798269
      1.427694      0.182865      2.106786      2.320769      2.452970      1.828650
      1.463125      0.185878      2.138764      2.368690      2.517552      1.858780
      1.498556      0.188867      2.170424      2.415003      2.579520      1.888669
      1.533987      0.191832      2.201813      2.459741      2.638843      1.918322
      1.569418      0.194775      2.232973      2.502938      2.695509      1.947749
      1.604849      0.197695      2.263937      2.544633      2.749517      1.976954
      1.640280      0.200595      2.294731      2.584864      2.800881      2.005945
      1.675711      0.203473      2.325380      2.623669      2.849622      2.034729
      1.711142      0.206331      2.355901      2.661087      2.895776      2.063310
      1.746573      0.209169      2.386308      2.697159      2.939384      2.091695
      1.782004      0.211989      2.416611      2.731924      2.980496      2.119888
      1.817435      0.214789      2.446818      2.765422      3.019169      2.147895
      1.852866      0.217572      2.476934      2.797692      3.055462      2.175721
      1.888297      0.220337      2.506960      2.828773      3.089444      2.203369
      1.923728      0.223085      2.536897      2.858703      3.121183      2.230846
      1.959159      0.225815      2.566744      2.887520      3.150751      2.258154
      1.994590      0.228530      2.596497      2.915261      3.178225      2.285298
      2.030021      0.231228      2.626152      2.941963      3.203681      2.312282
      2.065452      0.233911      2.655704      2.967662      3.227196      2.339109
      2.100883      0.236578      2.685146      2.992391      3.248848      2.365784
      2.136314      0.239231      2.714472      3.016187      3.268717      2.392308
      2.171745      0.241869      2.743674      3.039081      3.286879      2.418687
      2.207176      0.244492      2.772744      3.061108      3.303414      2.444922
      2.242607      0.247102      2.801674      3.082298      3.318396      2.471018
      2.278038      0.249698      2.830454      3.102683      3.331902      2.496976
      2.313469      0.252280      2.859077      3.122294      3.344007      2.522800
      2.348900      0.254849      2.887534      3.141159      3.354782      2.548493
      2.384331      0.257406      2.915815      3.159308      3.364298      2.574057
      2.419762      0.259949      2.943913      3.176769      3.372626      2.599494
      2.455193      0.262481      2.971818      3.193570      3.379832      2.624808
      2.490624      0.265000      2.999522      3.209736      3.385981      2.650000
      2.526055      0.267507      3.027017      3.225294      3.391136      2.675073
      2.561486      0.270003      3.054296      3.240270      3.395360      2.700029
      2.596917      0.272487      3.081350      3.254688      3.398710      2.724870
      2.632348      0.274960      3.108173      3.268571      3.401244      2.749599
      2.667779      0.277422      3.134757      3.281943      3.403016      2.774216
      2.703210      0.279873      3.161097      3.294828      3.404080      2.798725
      2.738641      0.282313      3.187186      3.307246      3.404486      2.823128
      2.774072      0.284742      3.213018      3.319220      3.404282      2.847425
      2.809503      0.287162      3.238589      3.330769      3.403516      2.871619
      2.844934      0.289571      3.263893      3.341916      3.402231      2.895711
      2.880365      0.291970      3.288927      3.352679      3.400471      2.919704
      2.915796      0.294360      3.313687      3.363077      3.398276      2.943598
      2.951227      0.296740      3.338168      3.373129      3.395686      2.967396
      2.986658      0.299110      3.362369      3.382854      3.392737      2.991099
      3.022089      0.301471      3.386287      3.392268      3.389464      3.014708
      3.057520      0.303823      3.409919      3.401390      3.385903      3.038225
      3.092951      0.306165      3.433265      3.410236      3.382084      3.061652
      3.128382      0.308499      3.456322      3.418822      3.378040      3.084989
      3.163813      0.310824      3.479092      3.427163      3.373797      3.108238
      3.199244      0.313140      3.501572      3.435276      3.369386      3.131401
      3.234675      0.315448      3.523764      3.443175      3.364831      3.154478
      3.270106      0.317747      3.545668      3.450874      3.360157      3.177471
      3.305537      0.320038      3.567285      3.458388      3.355390      3.200382
      3.340968      0.322321      3.588617      3.465730      3.350550      3.223210
      3.376399      0.324596      3.609665      3.472914      3.345660      3.245958
      3.411830      0.326863      3.630431      3.479952      3.340739      3.268627
      3.447261      0.329122      3.650919      3.486856      3.335807      3.291217
      3.482692      0.331373      3.671130      3.493640      3.330882      3.313730
      3.518123      0.333617      3.691069      3.500315      3.325981      3.336167
      3.553554      0.335853      3.710738      3.506892      3.321120      3.358529
      3.588985      0.338082      3.730141      3.513383      3.316315      3.380816
      3.624416      0.340303      3.749282      3.519798      3.311580      3.403030
      3.659847      0.342517      3.768167      3.526147      3.306928      3.425172
      3.695278      0.344724      3.786799      3.532441      3.302373      3.447243
      3.730709      0.346924      3.805183      3.538690      3.297927      3.469243
      3.766140      0.349117      3.823324      3.544903      3.293601      3.491173
      3.801571      0.351304      3.841228      3.551090      3.289406      3.513035
      3.837002      0.353483      3.858899      3.557259      3.285352      3.534829
      3.872433      0.355656      3.876345      3.563420      3.281449      3.556556
      3.907864      0.357822      3.893569      3.569579      3.277706      3.578217
      3.943295      0.359981      3.910580      3.575747      3.274131      3.599813
      3.978726      0.362134      3.927381      3.581931      3.270732      3.621344
      4.014157      0.364281      3.943981      3.588137      3.267517      3.642811
      4.049588      0.366422      3.960384      3.594375      3.264492      3.664215
      4.085019      0.368556      3.976597      3.600650      3.261664      3.685557
      4.120450      0.370684      3.992628      3.606970      3.259039      3.706837
      4.155881      0.372806      4.008481      3.613341      3.256624      3.728057
      4.191312      0.374922      4.024165      3.619771      3.254422      3.749216
      4.226743      0.377032      4.039685      3.626264      3.252440      3.770315
      4.262174      0.379136      4.055048      3.632828      3.250681      3.791356
      4.297605      0.381234      4.070262      3.639468      3.249150      3.812338
      4.333036      0.383326      4.085331      3.646189      3.247852      3.833263
      4.368467      0.385413      4.100264      3.652997      3.246789      3.854131
      4.403898      0.387494      4.115067      3.659898      3.245965      3.874942
      4.439329      0.389570      4.129746      3.666895      3.245384      3.895698
      4.474760      0.391640      4.144308      3.673995      3.245047      3.916399
      4.510191      0.393705      4.158760      3.681201      3.244959      3.937045
      4.545622      0.395764      4.173107      3.688518      3.245120      3.957637
      4.581053      0.397818      4.187357      3.695951      3.245534      3.978176
      4.616484      0.399866      4.201516      3.703503      3.246203      3.998662
      4.651915      0.401910      4.215590      3.711178      3.247127      4.019095
      4.687346      0.403948      4.229585      3.718980      3.248310      4.039477
      4.722777      0.405981      4.243507      3.726912      3.249752      4.059807
      4.758208      0.408009      4.257363      3.734979      3.251454      4.080087
      4.793639      0.410032      4.271158      3.743183      3.253418      4.100316
      4.829070      0.412050      4.284897      3.751527      3.255645      4.120495
      4.864501      0.414063      4.298588      3.760014      3.258136      4.140626
      4.899932      0.416071      4.312234      3.768648      3.260890      4.160707
      4.935363      0.418074      4.325842      3.777430      3.263909      4.180740
      4.970794      0.420073      4.339417      3.786364      3.267194      4.200725
      5.006225      0.422066      4.352964      3.795451      3.270744      4.220663
      5.041656      0.424055      4.366488      3.804693      3.274560      4.240554
      5.077087      0.426040      4.379993      3.814094      3.278641      4.260398
      5.112518      0.428020      4.393486      3.823655      3.282988      4.280196
      5.147949      0.429995      4.406970      3.833377      3.287602      4.299948
      5.183380      0.431966      4.420450      3.843263      3.292480      4.319656
      5.218811      0.433932      4.433929      3.853314      3.297625      4.339318
      5.254242      0.435894      4.447414      3.863531      3.303034      4.358936
      5.289673      0.437851      4.460906      3.873916      3.308707      4.378510
      5.325104      0.439804      4.474411      3.884470      3.314645      4.398040
      5.360535      0.441753      4.487932      3.895194      3.320846      4.417527
      5.395966      0.443697      4.501473      3.906090      3.327310      4.436971
      5.431397      0.445637      4.515037      3.917158      3.334036      4.456372
      5.466828      0.447573      4.528628      3.928399      3.341024      4.475732
      5.502259      0.449505      4.542248      3.939813      3.348272      4.495049
      5.537690      0.451433      4.555902      3.951402      3.355780      4.514325
      5.573121      0.453356      4.569591      3.963166      3.363547      4.533560
      5.608552      0.455275      4.583318      3.975105      3.371572      4.552755
      5.643983      0.457191      4.597087      3.987219      3.379853      4.571909
      5.679414      0.459102      4.610899      3.999510      3.388391      4.591023
      5.714845      0.461010      4.624758      4.011976      3.397182      4.610097
      5.750276      0.462913      4.638665      4.024618      3.406228      4.629132
      5.785707      0.464813      4.652622      4.037437      3.415526      4.648128
      5.821138      0.466708      4.666632      4.050431      3.425075      4.667085
      5.856569      0.468600      4.680696      4.063602      3.434873      4.686003
      5.892000      0.470488      4.694817      4.076948      3.444921      4.704884
      5.927431      0.472373      4.708995      4.090469      3.455215      4.723727
      5.962862      0.474253      4.723232      4.104166      3.465756      4.742532
      5.998293      0.476130      4.737530      4.118037      3.476541      4.761300
      6.033724      0.478003      4.751890      4.132081      3.487570      4.780031
      6.069155      0.479873      4.766313      4.146300      3.498840      4.798725
      6.104586      0.481738      4.780800      4.160691      3.510350      4.817384
      6.140017      0.483601      4.795352      4.175254      3.522099      4.836006
      6.175448      0.485459      4.809971      4.189989      3.534086      4.854592
      6.210879      0.487314      4.824656      4.204895      3.546308      4.873143
      6.246310      0.489166      4.839409      4.219970      3.558765      4.891658
      6.281741      0.491014      4.854230      4.235214      3.571454      4.910139
      6.317172      0.492858      4.869119      4.250626      3.584375      4.928585
      6.352603      0.494700      4.884078      4.266205      3.597525      4.946996
      6.388034      0.496537      4.899106      4.281950      3.610903      4.965373
      6.423465      0.498372      4.914204      4.297859      3.624508      4.983716
      6.458896      0.500203      4.929371      4.313933      3.638337      5.002026
      6.494327      0.502030      4.944609      4.330169      3.652390      5.020302
      6.529758      0.503855      4.959916      4.346566      3.666664      5.038545
      6.565189      0.505675      4.975294      4.363123      3.681158      5.056755
      6.600620      0.507493      4.990741      4.379839      3.695870      5.074932
      6.636051      0.509308      5.006258      4.396713      3.710798      5.093077
      6.671482      0.511119      5.021845      4.413743      3.725942      5.111189
      6.706913      0.512927      5.037501      4.430928      3.741299      5.129270
      6.742344      0.514732      5.053226      4.448266      3.756867      5.147318
      6.777775      0.516534      5.069019      4.465756      3.772644      5.165335
      6.813206      0.518332      5.084881      4.483397      3.788630      5.183321
      6.848637      0.520128      5.100810      4.501187      3.804822      5.201275
      6.884068      0.521920      5.116807      4.519124      3.821219      5.219199
      6.919499      0.523709      5.132870      4.537208      3.837819      5.237092
      6.954930      0.525495      5.148999      4.555436      3.854620      5.254954
