  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.50000
Number of "drawing" timesteps:    499
  exp. factor        a1             a2             a3         exp. ratio   
      0.100000      1.000000      0.800000      0.600000      1.000000
      0.104059      1.064429      0.857062      0.653927      1.040585
      0.108039      1.145481      0.923279      0.712085      1.080394
      0.111948      1.242406      0.998262      0.774425      1.119482
      0.115790      1.354805      1.081719      0.840875      1.157899
      0.119569      1.482537      1.173429      0.911353      1.195689
      0.123289      1.625648      1.273225      0.985766      1.232892
      0.126954      1.784336      1.380979      1.064017      1.269540
      0.130567      1.958912      1.496592      1.146004      1.305668
      0.134130      2.149787      1.619991      1.231626      1.341302
      0.137647      2.357450      1.751116      1.320782      1.376469
      0.141119      2.582464      1.889923      1.413369      1.411193
      0.144549      2.825455      2.036377      1.509288      1.445494
      0.147939      3.087107      2.190449      1.608440      1.479393
      0.151291      3.368159      2.352115      1.710728      1.512908
      0.154606      3.669401      2.521356      1.816058      1.546055
      0.157885      3.991675      2.698152      1.924335      1.578852
      0.161131      4.335871      2.882487      2.035468      1.611311
      0.164345      4.702929      3.074344      2.149370      1.643446
      0.167527      5.093837      3.273704      2.265952      1.675270
      0.170679      5.509636      3.480549      2.385130      1.706794
      0.173803      5.951415      3.694860      2.506821      1.738031
      0.176899      6.420313      3.916613      2.630945      1.768988
      0.179968      6.917525      4.145785      2.757422      1.799678
      0.183011      7.444299      4.382349      2.886176      1.830108
      0.186029      8.001938      4.626277      3.017131      1.860287
      0.189022      8.591804      4.877537      3.150217      1.890223
      0.191992      9.215316      5.136095      3.285361      1.919923
      0.194940      9.873957      5.401915      3.422494      1.949396
      0.197865     10.569273      5.674957      3.561551      1.978648
      0.200769     11.302876      5.955178      3.702465      2.007685
      0.203651     12.076443      6.242534      3.845174      2.036514
      0.206514     12.891728      6.536978      3.989616      2.065140
      0.209357     13.750553      6.838458      4.135731      2.093569
      0.212181     14.654818      7.146921      4.283462      2.121806
      0.214986     15.606504      7.462313      4.432753      2.149856
      0.217773     16.607671      7.784575      4.583549      2.177725
      0.220542     17.660465      8.113646      4.735796      2.205417
      0.223294     18.767122      8.449464      4.889446      2.232935
      0.226029     19.929967      8.791964      5.044446      2.260286
      0.228747     21.151423      9.141078      5.200751      2.287471
      0.231450     22.434010      9.496736      5.358312      2.314497
      0.234136     23.780351      9.858869      5.517086      2.341365
      0.236808     25.193176     10.227401      5.677028      2.368080
      0.239464     26.675324     10.602259      5.838096      2.394645
      0.242106     28.229749     10.983365      6.000251      2.421063
      0.244734     29.859525     11.370642      6.163451      2.447339
      0.247347     31.567849     11.764009      6.327660      2.473474
      0.249947     33.358046     12.163386      6.492841      2.499471
      0.252533     35.233572     12.568690      6.658957      2.525334
      0.255107     37.198022     12.979839      6.825976      2.551066
      0.257667     39.255136     13.396746      6.993862      2.576668
      0.260214     41.408798     13.819328      7.162585      2.602143
      0.262749     43.663048     14.247497      7.332114      2.627495
      0.265272     46.022084     14.681168      7.502419      2.652725
      0.267783     48.490271     15.120252      7.673470      2.677835
      0.270283     51.072144     15.564661      7.845241      2.702828
      0.272771     53.772414     16.014308      8.017704      2.727706
      0.275247     56.595976     16.469103      8.190834      2.752471
      0.277713     59.547919     16.928957      8.364605      2.777126
      0.280167     62.633524     17.393781      8.538995      2.801671
      0.282611     65.858280     17.863486      8.713979      2.826109
      0.285044     69.227887     18.337983      8.889535      2.850442
      0.287467     72.748263     18.817183      9.065642      2.874672
      0.289880     76.425556     19.300997      9.242279      2.898800
      0.292283     80.266145     19.789336      9.419427      2.922828
      0.294676     84.276657     20.282112      9.597066      2.946758
      0.297059     88.463969     20.779238      9.775177      2.970590
