  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   0.80000   0.60000   0.00000   0.00000   0.00000   0.10000  -0.50000
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.359985      1.595505      2.106017      1.000000
      0.612781      0.104050      1.459470      1.765981      2.303025      1.040505
      0.648212      0.108024      1.508202      1.883604      2.444909      1.080236
      0.683643      0.111925      1.517868      1.957699      2.540963      1.119249
      0.719074      0.115759      1.499931      1.997703      2.600114      1.157594
      0.754505      0.119531      1.464025      2.011876      2.630102      1.195314
      0.789936      0.123245      1.417579      2.006927      2.637269      1.232448
      0.825367      0.126903      1.366006      1.988078      2.626657      1.269030
      0.860798      0.130509      1.313080      1.959296      2.602209      1.305093
      0.896229      0.134066      1.261327      1.923551      2.566988      1.340664
      0.931660      0.137577      1.212359      1.883053      2.523374      1.375769
      0.967091      0.141043      1.167132      1.839433      2.473224      1.410432
      1.002522      0.144467      1.126148      1.793896      2.417995      1.444674
      1.037953      0.147851      1.089597      1.747328      2.358840      1.478515
      1.073384      0.151197      1.057458      1.700377      2.296679      1.511973
      1.108815      0.154506      1.029577      1.653519      2.232256      1.545064
      1.144246      0.157781      1.005711      1.607097      2.166174      1.577805
      1.179677      0.161021      0.985572      1.561355      2.098929      1.610210
      1.215108      0.164229      0.968847      1.516469      2.030933      1.642292
      1.250539      0.167406      0.955213      1.472556      1.962527      1.674064
      1.285970      0.170554      0.944353      1.429694      1.893999      1.705537
      1.321401      0.173672      0.935961      1.387931      1.825591      1.736722
      1.356832      0.176763      0.929746      1.347291      1.757509      1.767629
      1.392263      0.179827      0.925434      1.307783      1.689927      1.798269
      1.427694      0.182865      0.922773      1.269401      1.622994      1.828650
      1.463125      0.185878      0.921528      1.232131      1.556837      1.858780
      1.498556      0.188867      0.921485      1.195954      1.491563      1.888669
      1.533987      0.191832      0.922449      1.160845      1.427266      1.918322
      1.569418      0.194775      0.924243      1.126777      1.364024      1.947749
      1.604849      0.197695      0.926706      1.093719      1.301901      1.976954
      1.640280      0.200595      0.929695      1.061643      1.240956      2.005945
      1.675711      0.203473      0.933079      1.030518      1.181233      2.034729
      1.711142      0.206331      0.936745      1.000313      1.122771      2.063310
      1.746573      0.209169      0.940588      0.971000      1.065603      2.091695
      1.782004      0.211989      0.944517      0.942549      1.009754      2.119888
      1.817435      0.214789      0.948452      0.914932      0.955242      2.147895
      1.852866      0.217572      0.952322      0.888124      0.902084      2.175721
      1.888297      0.220337      0.956065      0.862100      0.850290      2.203369
      1.923728      0.223085      0.959627      0.836835      0.799867      2.230846
      1.959159      0.225815      0.962962      0.812306      0.750819      2.258154
      1.994590      0.228530      0.966029      0.788493      0.703146      2.285298
      2.030021      0.231228      0.968796      0.765376      0.656847      2.312282
      2.065452      0.233911      0.971234      0.742936      0.611918      2.339109
      2.100883      0.236578      0.973321      0.721155      0.568352      2.365784
      2.136314      0.239231      0.975037      0.700017      0.526142      2.392308
      2.171745      0.241869      0.976368      0.679507      0.485278      2.418687
      2.207176      0.244492      0.977304      0.659610      0.445750      2.444922
      2.242607      0.247102      0.977836      0.640312      0.407545      2.471018
      2.278038      0.249698      0.977962      0.621603      0.370652      2.496976
      2.313469      0.252280      0.977678      0.603470      0.335057      2.522800
      2.348900      0.254849      0.976985      0.585901      0.300744      2.548493
      2.384331      0.257406      0.975888      0.568889      0.267700      2.574057
      2.419762      0.259949      0.974389      0.552422      0.235908      2.599494
      2.455193      0.262481      0.972496      0.536493      0.205353      2.624808
      2.490624      0.265000      0.970218      0.521093      0.176018      2.650000
      2.526055      0.267507      0.967562      0.506216      0.147887      2.675073
      2.561486      0.270003      0.964541      0.491853      0.120944      2.700029
      2.596917      0.272487      0.961166      0.477999      0.095171      2.724870
      2.632348      0.274960      0.957450      0.464647      0.070552      2.749599
      2.667779      0.277422      0.953405      0.451793      0.047069      2.774216
      2.703210      0.279873      0.949047      0.439430      0.024706      2.798725
      2.738641      0.282313      0.944390      0.427554      0.003445      2.823128
      2.774072      0.284742      0.939450      0.416160     -0.016731      2.847425
      2.809503      0.287162      0.934241      0.405243     -0.035838      2.871619
      2.844934      0.289571      0.928781      0.394801     -0.053893      2.895711
      2.880365      0.291970      0.923085      0.384828     -0.070914      2.919704
      2.915796      0.294360      0.917170      0.375321     -0.086916      2.943598
      2.951227      0.296740      0.911053      0.366276     -0.101916      2.967396
      2.986658      0.299110      0.904751      0.357691     -0.115931      2.991099
      3.022089      0.301471      0.898279      0.349561     -0.128976      3.014708
      3.057520      0.303823      0.891656      0.341884     -0.141068      3.038225
      3.092951      0.306165      0.884898      0.334657     -0.152223      3.061652
      3.128382      0.308499      0.878021      0.327876     -0.162457      3.084989
      3.163813      0.310824      0.871042      0.321539     -0.171784      3.108238
      3.199244      0.313140      0.863977      0.315643     -0.180222      3.131401
      3.234675      0.315448      0.856843      0.310185     -0.187784      3.154478
      3.270106      0.317747      0.849655      0.305162     -0.194486      3.177471
      3.305537      0.320038      0.842429      0.300571     -0.200344      3.200382
      3.340968      0.322321      0.835181      0.296410     -0.205372      3.223210
      3.376399      0.324596      0.827926      0.292675     -0.209585      3.245958
      3.411830      0.326863      0.820677      0.289364     -0.212997      3.268627
      3.447261      0.329122      0.813451      0.286473     -0.215624      3.291217
      3.482692      0.331373      0.806260      0.284000     -0.217479      3.313730
      3.518123      0.333617      0.799119      0.281942     -0.218577      3.336167
      3.553554      0.335853      0.792041      0.280295     -0.218932      3.358529
      3.588985      0.338082      0.785039      0.279056     -0.218558      3.380816
      3.624416      0.340303      0.778124      0.278221     -0.217470      3.403030
      3.659847      0.342517      0.771311      0.277788     -0.215681      3.425172
      3.695278      0.344724      0.764609      0.277753     -0.213206      3.447243
      3.730709      0.346924      0.758030      0.278112     -0.210057      3.469243
      3.766140      0.349117      0.751585      0.278861     -0.206249      3.491173
      3.801571      0.351304      0.745285      0.279996     -0.201795      3.513035
      3.837002      0.353483      0.739138      0.281514     -0.196710      3.534829
      3.872433      0.355656      0.733155      0.283410     -0.191006      3.556556
      3.907864      0.357822      0.727343      0.285680     -0.184697      3.578217
      3.943295      0.359981      0.721713      0.288320     -0.177797      3.599813
      3.978726      0.362134      0.716270      0.291325     -0.170319      3.621344
      4.014157      0.364281      0.711024      0.294690     -0.162276      3.642811
      4.049588      0.366422      0.705980      0.298410     -0.153682      3.664215
      4.085019      0.368556      0.701145      0.302481     -0.144551      3.685557
      4.120450      0.370684      0.696526      0.306897     -0.134895      3.706837
      4.155881      0.372806      0.692127      0.311654     -0.124728      3.728057
      4.191312      0.374922      0.687953      0.316745     -0.114064      3.749216
      4.226743      0.377032      0.684010      0.322165     -0.102914      3.770315
      4.262174      0.379136      0.680301      0.327908     -0.091293      3.791356
      4.297605      0.381234      0.676829      0.333969     -0.079214      3.812338
      4.333036      0.383326      0.673598      0.340342     -0.066690      3.833263
      4.368467      0.385413      0.670611      0.347020     -0.053734      3.854131
      4.403898      0.387494      0.667870      0.353997     -0.040359      3.874942
      4.439329      0.389570      0.665376      0.361268     -0.026578      3.895698
      4.474760      0.391640      0.663131      0.368824     -0.012404      3.916399
      4.510191      0.393705      0.661136      0.376660      0.002149      3.937045
      4.545622      0.395764      0.659391      0.384770      0.017070      3.957637
      4.581053      0.397818      0.657896      0.393145      0.032345      3.978176
      4.616484      0.399866      0.656652      0.401779      0.047960      3.998662
      4.651915      0.401910      0.655657      0.410666      0.063905      4.019095
      4.687346      0.403948      0.654910      0.419797      0.080165      4.039477
      4.722777      0.405981      0.654411      0.429166      0.096728      4.059807
      4.758208      0.408009      0.654156      0.438766      0.113581      4.080087
      4.793639      0.410032      0.654145      0.448588      0.130712      4.100316
      4.829070      0.412050      0.654374      0.458626      0.148109      4.120495
      4.864501      0.414063      0.654841      0.468871      0.165759      4.140626
      4.899932      0.416071      0.655544      0.479317      0.183650      4.160707
      4.935363      0.418074      0.656478      0.489956      0.201770      4.180740
      4.970794      0.420073      0.657640      0.500779      0.220106      4.200725
      5.006225      0.422066      0.659026      0.511780      0.238647      4.220663
      5.041656      0.424055      0.660633      0.522949      0.257380      4.240554
      5.077087      0.426040      0.662455      0.534281      0.276295      4.260398
      5.112518      0.428020      0.664489      0.545766      0.295379      4.280196
      5.147949      0.429995      0.666729      0.557398      0.314621      4.299948
      5.183380      0.431966      0.669171      0.569167      0.334010      4.319656
      5.218811      0.433932      0.671810      0.581067      0.353534      4.339318
      5.254242      0.435894      0.674640      0.593090      0.373182      4.358936
      5.289673      0.437851      0.677656      0.605228      0.392944      4.378510
      5.325104      0.439804      0.680853      0.617472      0.412808      4.398040
      5.360535      0.441753      0.684225      0.629817      0.432764      4.417527
      5.395966      0.443697      0.687766      0.642253      0.452802      4.436971
      5.431397      0.445637      0.691470      0.654774      0.472912      4.456372
      5.466828      0.447573      0.695332      0.667372      0.493082      4.475732
      5.502259      0.449505      0.699346      0.680039      0.513303      4.495049
      5.537690      0.451433      0.703505      0.692768      0.533566      4.514325
      5.573121      0.453356      0.707803      0.705552      0.553861      4.533560
      5.608552      0.455275      0.712235      0.718384      0.574179      4.552755
      5.643983      0.457191      0.716794      0.731256      0.594510      4.571909
      5.679414      0.459102      0.721475      0.744162      0.614845      4.591023
      5.714845      0.461010      0.726271      0.757095      0.635176      4.610097
      5.750276      0.462913      0.731176      0.770047      0.655494      4.629132
      5.785707      0.464813      0.736183      0.783013      0.675791      4.648128
      5.821138      0.466708      0.741288      0.795985      0.696058      4.667085
      5.856569      0.468600      0.746484      0.808958      0.716288      4.686003
      5.892000      0.470488      0.751765      0.821924      0.736472      4.704884
      5.927431      0.472373      0.757126      0.834879      0.756604      4.723727
      5.962862      0.474253      0.762560      0.847815      0.776675      4.742532
      5.998293      0.476130      0.768061      0.860727      0.796679      4.761300
      6.033724      0.478003      0.773625      0.873609      0.816609      4.780031
      6.069155      0.479873      0.779245      0.886456      0.836458      4.798725
      6.104586      0.481738      0.784916      0.899262      0.856220      4.817384
      6.140017      0.483601      0.790633      0.912021      0.875887      4.836006
      6.175448      0.485459      0.796391      0.924729      0.895455      4.854592
      6.210879      0.487314      0.802184      0.937381      0.914918      4.873143
      6.246310      0.489166      0.808007      0.949972      0.934269      4.891658
      6.281741      0.491014      0.813856      0.962497      0.953503      4.910139
      6.317172      0.492858      0.819725      0.974951      0.972616      4.928585
      6.352603      0.494700      0.825610      0.987330      0.991601      4.946996
      6.388034      0.496537      0.831507      0.999630      1.010454      4.965373
      6.423465      0.498372      0.837410      1.011847      1.029171      4.983716
      6.458896      0.500203      0.843316      1.023977      1.047747      5.002026
      6.494327      0.502030      0.849221      1.036016      1.066178      5.020302
      6.529758      0.503855      0.855120      1.047960      1.084459      5.038545
      6.565189      0.505675      0.861010      1.059807      1.102588      5.056755
      6.600620      0.507493      0.866887      1.071552      1.120560      5.074932
      6.636051      0.509308      0.872747      1.083192      1.138371      5.093077
      6.671482      0.511119      0.878587      1.094725      1.156019      5.111189
      6.706913      0.512927      0.884403      1.106148      1.173500      5.129270
      6.742344      0.514732      0.890192      1.117458      1.190812      5.147318
      6.777775      0.516534      0.895952      1.128652      1.207952      5.165335
      6.813206      0.518332      0.901679      1.139728      1.224916      5.183321
      6.848637      0.520128      0.907370      1.150683      1.241703      5.201275
      6.884068      0.521920      0.913023      1.161516      1.258311      5.219199
      6.919499      0.523709      0.918635      1.172225      1.274737      5.237092
      6.954930      0.525495      0.924203      1.182807      1.290979      5.254954
      6.990361      0.527279      0.929726      1.193260      1.307035      5.272786
      7.025792      0.529059      0.935201      1.203584      1.322905      5.290588
      7.061223      0.530836      0.940627      1.213777      1.338586      5.308360
      7.096654      0.532610      0.946001      1.223837      1.354077      5.326102
      7.132085      0.534382      0.951321      1.233762      1.369376      5.343815
      7.167516      0.536150      0.956585      1.243553      1.384484      5.361499
      7.202947      0.537915      0.961793      1.253207      1.399398      5.379153
      7.238378      0.539678      0.966943      1.262725      1.414117      5.396778
      7.273809      0.541438      0.972033      1.272104      1.428642      5.414375
      7.309240      0.543194      0.977062      1.281345      1.442972      5.431943
      7.344671      0.544948      0.982028      1.290446      1.457106      5.449483
      7.380102      0.546699      0.986932      1.299408      1.471043      5.466995
      7.415533      0.548448      0.991771      1.308229      1.484783      5.484478
      7.450964      0.550193      0.996545      1.316910      1.498327      5.501934
      7.486395      0.551936      1.001253      1.325450      1.511675      5.519362
      7.521826      0.553676      1.005895      1.333849      1.524825      5.536763
      7.557257      0.555414      1.010469      1.342108      1.537778      5.554136
      7.592688      0.557148      1.014976      1.350225      1.550536      5.571483
      7.628119      0.558880      1.019414      1.358201      1.563097      5.588802
      7.663550      0.560609      1.023784      1.366037      1.575462      5.606095
      7.698981      0.562336      1.028085      1.373732      1.587632      5.623360
      7.734412      0.564060      1.032317      1.381288      1.599607      5.640600
      7.769843      0.565781      1.036479      1.388703      1.611388      5.657813
      7.805274      0.567500      1.040573      1.395979      1.622975      5.675000
      7.840705      0.569216      1.044596      1.403116      1.634369      5.692161
      7.876136      0.570930      1.048550      1.410115      1.645572      5.709296
      7.911567      0.572641      1.052435      1.416977      1.656584      5.726405
      7.946998      0.574349      1.056251      1.423701      1.667405      5.743489
      7.982429      0.576055      1.059998      1.430289      1.678037      5.760548
      8.017860      0.577758      1.063675      1.436742      1.688481      5.777581
      8.053291      0.579459      1.067285      1.443059      1.698738      5.794590
      8.088722      0.581157      1.070826      1.449243      1.708809      5.811573
      8.124153      0.582853      1.074299      1.455295      1.718695      5.828531
      8.159584      0.584547      1.077704      1.461214      1.728397      5.845465
      8.195015      0.586237      1.081043      1.467002      1.737917      5.862375
      8.230446      0.587926      1.084315      1.472660      1.747256      5.879260
      8.265877      0.589612      1.087521      1.478189      1.756415      5.896121
      8.301308      0.591296      1.090662      1.483590      1.765396      5.912958
      8.336739      0.592977      1.093738      1.488864      1.774200      5.929771
      8.372170      0.594656      1.096749      1.494012      1.782829      5.946560
      8.407601      0.596333      1.099697      1.499036      1.791283      5.963325
      8.443032      0.598007      1.102581      1.503937      1.799564      5.980067
      8.478463      0.599679      1.105403      1.508715      1.807675      5.996785
      8.513894      0.601348      1.108164      1.513373      1.815615      6.013481
      8.549325      0.603015      1.110864      1.517910      1.823388      6.030153
      8.584756      0.604680      1.113503      1.522330      1.830994      6.046802
      8.620187      0.606343      1.116083      1.526632      1.838434      6.063428
      8.655618      0.608003      1.118604      1.530817      1.845712      6.080031
      8.691049      0.609661      1.121067      1.534889      1.852827      6.096612
      8.726480      0.611317      1.123473      1.538847      1.859782      6.113170
      8.761911      0.612971      1.125823      1.542692      1.866579      6.129706
      8.797342      0.614622      1.128117      1.546428      1.873218      6.146220
      8.832773      0.616271      1.130357      1.550053      1.879702      6.162711
      8.868204      0.617918      1.132542      1.553571      1.886032      6.179180
      8.903635      0.619563      1.134674      1.556981      1.892210      6.195628
      8.939066      0.621205      1.136754      1.560287      1.898238      6.212053
      8.974497      0.622846      1.138783      1.563488      1.904116      6.228457
      9.009928      0.624484      1.140761      1.566586      1.909847      6.244840
      9.045359      0.626120      1.142689      1.569583      1.915433      6.261201
      9.080790      0.627754      1.144568      1.572480      1.920875      6.277540
      9.116221      0.629386      1.146400      1.575279      1.926174      6.293859
      9.151652      0.631016      1.148183      1.577980      1.931333      6.310156
      9.187083      0.632643      1.149921      1.580585      1.936353      6.326432
      9.222514      0.634269      1.151613      1.583095      1.941235      6.342687
      9.257945      0.635892      1.153260      1.585511      1.945982      6.358922
      9.293376      0.637514      1.154864      1.587836      1.950594      6.375136
      9.328807      0.639133      1.156424      1.590070      1.955074      6.391329
      9.364238      0.640750      1.157942      1.592215      1.959423      6.407501
      9.399669      0.642365      1.159419      1.594271      1.963643      6.423654
      9.435100      0.643979      1.160855      1.596241      1.967735      6.439786
      9.470531      0.645590      1.162251      1.598125      1.971701      6.455898
      9.505962      0.647199      1.163608      1.599925      1.975543      6.471989
      9.541393      0.648806      1.164928      1.601642      1.979261      6.488061
      9.576824      0.650411      1.166209      1.603278      1.982859      6.504113
      9.612255      0.652015      1.167454      1.604833      1.986336      6.520145
      9.647686      0.653616      1.168664      1.606309      1.989695      6.536158
      9.683117      0.655215      1.169838      1.607707      1.992938      6.552151
      9.718548      0.656812      1.170978      1.609028      1.996065      6.568124
      9.753979      0.658408      1.172084      1.610274      1.999079      6.584078
      9.789410      0.660001      1.173158      1.611445      2.001980      6.600013
      9.824841      0.661593      1.174199      1.612544      2.004771      6.615928
