  Omega0      e0        e1        e2       e11       e22       e33        ai      delta0  
   1.00000   1.00000   1.00000   1.00000   0.00000   0.00000   0.00000   0.10000   0.00000
      Tau        exp. factor        v1             v2             v3         exp. ratio   
      0.577350      0.100000      1.333333      1.333333      1.333333      1.000000
      0.625066      0.105437      1.319069      1.319069      1.319069      1.054365
      0.666133      0.110005      1.308245      1.308245      1.308245      1.100055
      0.709701      0.114751      1.297965      1.297965      1.297965      1.147513
      0.755925      0.119681      1.288189      1.288189      1.288189      1.196813
      0.804969      0.124803      1.278880      1.278880      1.278880      1.248034
      0.857004      0.130125      1.270006      1.270006      1.270006      1.301254
      0.912214      0.135656      1.261536      1.261536      1.261536      1.356557
      0.970792      0.141403      1.253444      1.253444      1.253444      1.414028
      1.032945      0.147375      1.245705      1.245705      1.245705      1.473755
      1.098890      0.153583      1.238298      1.238298      1.238298      1.535830
      1.168856      0.160035      1.231201      1.231201      1.231201      1.600348
      1.205423      0.163355      1.227763      1.227763      1.227763      1.633554
      1.243088      0.166741      1.224396      1.224396      1.224396      1.667407
      1.281885      0.170192      1.221098      1.221098      1.221098      1.701922
      1.321846      0.173711      1.217866      1.217866      1.217866      1.737111
      1.363006      0.177299      1.214699      1.214699      1.214699      1.772987
      1.405402      0.180956      1.211595      1.211595      1.211595      1.809565
      1.449070      0.184686      1.208552      1.208552      1.208552      1.846857
      1.494048      0.188488      1.205569      1.205569      1.205569      1.884879
      1.540375      0.192364      1.202643      1.202643      1.202643      1.923644
      1.588092      0.196317      1.199774      1.199774      1.199774      1.963168
      1.637239      0.200346      1.196959      1.196959      1.196959      2.003465
      1.687859      0.204455      1.194198      1.194198      1.194198      2.044551
      1.739996      0.208644      1.191488      1.191488      1.191488      2.086440
      1.793696      0.212915      1.188829      1.188829      1.188829      2.129150
      1.849004      0.217270      1.186219      1.186219      1.186219      2.172696
      1.905969      0.221710      1.183656      1.183656      1.183656      2.217095
      1.964640      0.226236      1.181140      1.181140      1.181140      2.262363
      2.025067      0.230852      1.178670      1.178670      1.178670      2.308518
      2.087303      0.235558      1.176244      1.176244      1.176244      2.355577
      2.151401      0.240356      1.173861      1.173861      1.173861      2.403558
      2.217417      0.245248      1.171521      1.171521      1.171521      2.452479
      2.285407      0.250236      1.169221      1.169221      1.169221      2.502358
      2.355431      0.255321      1.166962      1.166962      1.166962      2.553215
      2.427548      0.260507      1.164742      1.164742      1.164742      2.605068
      2.501821      0.265794      1.162560      1.162560      1.162560      2.657937
      2.578314      0.271184      1.160415      1.160415      1.160415      2.711841
      2.657092      0.276680      1.158307      1.158307      1.158307      2.766803
      2.738224      0.282284      1.156234      1.156234      1.156234      2.822841
      2.821779      0.287998      1.154196      1.154196      1.154196      2.879977
      2.907828      0.293823      1.152192      1.152192      1.152192      2.938233
      2.996447      0.299763      1.150222      1.150222      1.150222      2.997631
      3.087710      0.305819      1.148283      1.148283      1.148283      3.058192
      3.181697      0.311994      1.146377      1.146377      1.146377      3.119940
      3.278488      0.318290      1.144502      1.144502      1.144502      3.182899
      3.378166      0.324709      1.142657      1.142657      1.142657      3.247090
      3.480816      0.331254      1.140841      1.140841      1.140841      3.312540
      3.586527      0.337927      1.139055      1.139055      1.139055      3.379272
      3.695390      0.344731      1.137297      1.137297      1.137297      3.447312
      3.807496      0.351668      1.135567      1.135567      1.135567      3.516685
      3.922944      0.358742      1.133865      1.133865      1.133865      3.587416
      4.041830      0.365953      1.132189      1.132189      1.132189      3.659534
